demand_id,description_text,language_code,judgment
140590-2024,"Le présent marché est un marché de conception-réalisation et a pour objet la réalisation de 158 logements, de 176 stationnements, de 12 785 m2 de bureaux et de 678 m2 de commerces à Nanterre.",fr,GENERIC_PROCUREMENT
146289-2024,"Auswahl einer Designagentur für die Betreuung der Corporate Identity des Wiener Tourismusverbandes - Durchführung eines dem Nicht Offenen Realisierungswettbewerb ähnlichen Verhandlungsverfahrens zum Abschluss einer Innovationspartnerschaft gemäß BVergG 2018 idgF mit einem:einer Partner:in",de,GENERIC_PROCUREMENT
158024-2024,"Udbud af innovationspartnerskab for intelligent monitorering af patienter i Region Hovedstaden. Innovationspartnerskabet består af en aftale om udvikling af en løsning til opfyldelse af en række behov, der knytter sig til monitorering af patienter på Region Hovedstadens hospitaler, samt en indkøbsaftale (rammeaftale) der giver Ordregiver mulighed for at indkøbe den udviklede løsning efterfølgende.",da,GENERIC_PROCUREMENT
187126-2026,"Call for a request to participate in a European tender for an innovation partnership issued by the Ministry of Infrastructure and Watermanagement for pre-deployment of autonomous road transport To be determined during the tender procedure.",nl,EMPTY_INSUFFICIENT
232639-2024,"Système d'Acquisition Dynamique relatif aux prestations de gestion éditoriale des offres numériques de France Télévisions sur les plateformes et/ou les réseaux sociaux",fr,GENERIC_PROCUREMENT
249686-2024,"De selectie voor de aanbesteding van het Innovatiepartnerschap voor het project “Scale-up Toekomstbestendige kunstgrasvelden” van de gemeente Amsterdam en gemeente Haarlem (hierna dit Project of het Innovatiepartnerschap).",nl,GENERIC_PROCUREMENT
263442-2024,"Système d'acquisition dynamique pour de la prestation et de l'expertise dans le domaine de la cybersécurité",fr,GENERIC_PROCUREMENT
273005-2025,"Entwicklung von innovativen Leistungen im Zusammenhang mit Tarifmodulen nach dem Standard PKM (Produkt- und Kontrollmodule) für ein bayernweites In/Out System und deren anschließenden Erwerb.",de,GENERIC_PROCUREMENT
297831-2026,"Genomförande av PCP (förkommersiell upphandling) pilot inom Innovationsprogrammet för civil-militära synergier. Teknikområde: Små obemannade markfarkoster.",sv,GENERIC_PROCUREMENT
298884-2026,"Genomförande av PCP (förkommersiell upphandling) pilot inom Innovationsprogrammet för civil-militära synergier. Teknikområde: Små obemannade markfarkoster.",sv,GENERIC_PROCUREMENT
302907-2025,"Die Stadt Salzburg beabsichtigt, die Goethesiedlung in Salzburg-Itzling im Einklang mit den Bemühungen zur Erreichung der Klimaneutralität als Pilotvorhaben einer klima-neutralen und zukunftsfitten Quartiersentwicklung stadtplanerisch weiterzuentwickeln und dabei strukturell zu verbessern.",de,GENERIC_PROCUREMENT
339244-2026,"Desarrollo Innovador de un supercargador bidireccional de alta potencia con funcionalidades de soporte a la red eléctrica",es,GENERIC_PROCUREMENT
354830-2024,"VTT Technical Research Centre of Finland Ltd., herein referred to as “VTT” or “Contracting Authority” expects your application to participate in the innovation partnership as detailed in the contract notice published on the public procurement website Hilma and this invitation to participate and its Annexes. Subject-matter of the Contract is the development and the delivery of a quantum computer(s) and related services. The procurement process is an innovation partnership. A maximum of four (4) tenderers shall be selected by the Contracting Authority for the negotiations on the basis of the criteria described in this contract notice, unless there are fewer than four applications to participate in accordance with the invitation to participate. Candidates from countries outside the WTO GPA (Agreement on Government Procurement) will not be considered. For further information, please see Annex 1 Subject Matter of the Procurement and its appendices. The Contract shall take effect from its signing and remains in force until the Quantum Computer(s) are delivered by the winner of tender and accepted by the Contracting Authority, and the winner of the tender has performed its obligations under the warranty period in accordance with the Contract. For Services, the contract period starts from the signing of the Service Contract(s) and stays in force for three (3) years after which the Service Contracts will remain in force until further notice [notice period will be specified in the final invitation to tender]. Please see Annex 4 Draft Contractual Terms and Conditions for further information.",en,GENERIC_PROCUREMENT
356553-2024,"Puro Tekstiilihuoltopalvelut Oy etsii potilasvaatekategoriansa yhden suurivolyymisimman tuotteeseen potilaspyjamaan uutta materiaalia. Potilaspyjaman malli on ollut kehitystyön alla jo aiemmin. Tuotteen malliin voidaan ottaa vielä kehitysideoita vastaan innovaatiokumppanuuden aikana, mikäli tämä nähdään tarpeelliseksi tai löydetään toimivampia ratkaisuja.",fi,GENERIC_PROCUREMENT
366183-2024,"Le présent marché porte sur les prestations de nettoyage des parties communes du patrimoine de Podeliha sur le département de la Mayenne (53)",fr,GENERIC_PROCUREMENT
366882-2024,"Le présent marché porte sur les prestations de nettoyage des parties communes du patrimoine de Podeliha sur le département du Maine-et-Loire (49)",fr,GENERIC_PROCUREMENT
397230-2024,"Acquisition de véhicules neufs et d'occasion pour la Ville de Couëron et son centre communal d'action sociale",fr,GENERIC_PROCUREMENT
400487-2026,"Die Stadtgemeinde Bischofshofen beabsichtigt, den Abbruch und den Neubau des bestehenden Schülerheims in Bischofshofen günstigenfalls an einen Gemeinnützigen Bauträger zu vergeben.",de,GENERIC_PROCUREMENT
