demand_id,publication_id,title,abstract,classifications_cpc,judgment
122428-2024,ES2935558A1,Dispositivo de monitorización de la respiración,"Dispositivo de monitorización de la respiración para monitorizar la respiración de un usuario, que comprende un elemento sensor de deformación configurado para producir una señal eléctrica ante las deformaciones producidas en el tejido (o material textil) de una mascarilla por la respiración del usuario. El dispositivo de monitorización está configurado para transmitir dicha señal eléctrica a un centro de monitorización remoto.",A61B5/08; A41D13/11; C08J5/005,
122428-2024,ES2326252A1,SISTEMA INALAMBRICO Y METODO DE LECTURA REMOTA DE CONTADORES,"Sistema inalámbrico y método de lectura remota de contadores. Sistema inalámbrico de lectura remota de contadores, que comprende: al menos un dispositivo de almacenamiento (100), conectado a un contador o integrado en un contador, que comprende medios (2) para almacenar datos relativos al consumo; al menos un dispositivo concentrador (200), y un dispositivo central (400). El dispositivo de almacenamiento (100) comprende medios (1, 5, 6) para enviar los datos relativos al consumo al dispositivo concentrador a través de una red de banda estrecha (500), que opera en una banda de frecuencia de uso libre. El dispositivo concentrador comprende medios para reenviar dichos datos al dispositivo central (400) a través de una red de banda ancha (600), que opera en una banda de frecuencia de uso libre.",G01D4/002; G01D4/004; Y02B90/20; Y04S20/30,
122428-2024,ES2641296A1,"PROCEDIMIENTO, SISTEMA DE CONTROL, NODO DE TRANSDUCTORES, Y PRODUCTO DE PROGRAMA INFORMÁTICO PARA HACER, QUE UNOS O MÁS TRANSDUCTORES COMRENDIDOS EN EL NODO SEAN ACCESIBLES A UNA RED DE TRANSDUCTORES A TRAVÉS DE NODOS DE TRANSDUCTORES INTELIGENTES","Procedimiento, sistema de control, nodo de transductores y producto de programa informático para hacer, por parte de un nodo de transductores y/o por parte de un sistema de control, que unos o más transductores comprendidos en el nodo sean accesibles a una red de transductores cuando el nodo está conectado a la red de transductores. La presente invención se refiere a procedimientos para hacer accesible uno o más transductores de forma automática a una red de transductores, a través de nodos de transductores inteligentes que comprenden al menos uno de los citados transductores; la invención también se refiere a la red de transductores que comprende un sistema de control y al menos un nodo de transductores, configurados para ejecutar los citados procedimientos; de acuerdo con la invención también se definen unos productos de programa informático para llevar a cabo dichos procedimientos.",H04W48/16; H04W84/18; H04L67/125,
122428-2024,ES2246100A1,"HABITACION MODULAR PREFABRICADA, PARTICULARMENTE UN CUARTO DE ASEO O DE BAÑO.","Habitación modular prefabricada, particularmente un cuarto de aseo o de baño. Habitación modular prefabricada para la construcción, particularmente un cuarto de baño o de aseo, adaptada para ser instalada en edificios en construcción, provista de los aparatos sanitarios y de las instalaciones necesarias para suministrar y distribuir el agua sanitaria a dichos aparatos sanitarios, así como para evacuar las aguas grises y los residuos que provienen de dichos aparatos sanitarios, provista además de conexiones exteriores a la red de suministro eléctrico de la instalación, constituida por elementos construidos separadamente y unidos entre sí de forma sólida y estanca, constituyendo las paredes, el techo y el piso; adaptada para ser transportada y asentada sobre un forjado de la obra sin sufrir deformaciones; provista de unos elementos de regulación de la altura del piso respecto del forjado sobre el que se asienta; y estando dotado el piso de la habitación modular de un colector único para la evacuación exterior de las aguas grises y los residuos de los aparatos sanitarios instalados en la habitación modular.",A47K4/00; E03C1/01; E04B1/34869,
122428-2024,ES2424917A2,Sistema de aplicación de productos fitosanitarios adaptable,"Sistema de aplicación de productos fitosanitarios adaptable, que comprende al menos un primer dispositivo (1) de acercamiento horizontal, al menos un segundo dispositivo (2) de sujeción de las boquillas (5) de pulverización con al menos dos tramos (2.1, 2.2) basculantes entre sí para adaptarse a la forma del elemento a pulverizar y, al menos un tercer dispositivo (3) de aplicación del producto. El al menos un tercer dispositivo (3) puede estar formado por un mecanismo de pulverización hidroneumático que comprende un sistema de propulsión de aire (7) sobre una estructura soporte (4) y, al menos una conducción principal (8) conectada por un primer extremo (8.1) al sistema de propulsión de aire (7) y por un segundo extremo (8.2) a un elemento distribuidor (9) y una serie de conducciones secundarias (10) conectadas cada una de ellas por un primer extremo (10.1) al elemento distribuidor (9) y por un segundo extremo (10.2) a una boquilla (5) de pulverización.",A01M7/00; A01B73/06; A01C23/04,
122428-2024,ES2600452A1,Método y sistema de mantenimiento predictivo de edificios y estructuras.,"Método y sistema de mantenimiento predictivo de edificios y estructuras, que prevé la instalación de una serie de sensores (S1, S2, S3, ..., Sn) colocados en lugares estratégicos del edificio o de la estructura a controlar, en la cual o bien cada uno de los sensores está conectado mediante cableado a un nodo (NS) que está dotado de una antena de transmisión inalámbrica con un nodo central de comunicación (NC); o bien cada sensor (S1, S2) dispone de medios propios de comunicación inalámbrica y directamente transmite los datos recogidos a dicho nodo central de comunicaciones (NC); presentando cada nodo central una antena de salida que comunica los datos recibidos a un servidor (Serv) existente en un centro de datos (CD), al cual se conectan varios terminales de usuario (T1, T2, T3, ..., Tn) para controlar y gestionar su edificio, que incluye una herramienta informática de predicción (HP), que en función de parámetros físicos y químicos que se miden en los sensores estima el comportamiento y deterioro de la estructura o edificio en el futuro, mediante algoritmos (Alg) que correlacionan los parámetros físico-químicos con los procesos patológicos que se pueden dar en función del tiempo.",A45C13/02; G06Q50/08; A45C13/103; A45C5/14; A45C7/0054; A45C2005/035,
122428-2024,ES2647619A2,Dispositivo de contención física.,"Dispositivo de contención física, aplicable en la limitación de movilidad de pacientes en cuadros de agitación, desorganización, o riesgo de caídas; que comprende un chaleco (1) abierto lateralmente, constituido por una pieza anterior (11) y una pieza posterior (12), unidas por la zona superior y que presentan lateralmente por debajo de las aberturas de los brazos unos cierres laterales para su unión en una posición de cierre del chaleco; unas cintas superiores (2) de sujeción, que presentan un primer extremo (21) fijado al chaleco y un segundo extremo (22) provisto de unos medios de cierre (7) para su sujeción a una cama o estructura fija; unas cintas de sujeción abdominal (3) provistas de unos medios de cierre (7) fijadas a los extremos laterales de la pieza posterior (12) del chaleco; unas cintas antivuelco (4) fijadas a los laterales del chaleco (1) y provistas de unos medios de cierre (7) para su fijación a una cama o estructura de soporte y; dos lazadas laterales (5) de fijación de la contención de manos del paciente al chaleco (1), dispuestas en la zona inferior del chaleco.",A41D1/04; A43C15/08; A43B1/0054; A43C15/063; A43C15/066; A43C15/068; A61F5/3769; A41D13/1245,
122428-2024,ES2928677A1,Sistema de conduccion ecoeficiente adaptado a la modelización tridimensional geoposicionada de la parametrización del trazado de cualquier infraestructura lineal particularizado al vehiculo,"Sistema de conducción, con modo asistido (170) y autónomo (180), adaptado a un modelo tridimensional geoposicionado de parametrización de los elementos del trazado (60) de cualquier infraestructura lineal, que transmite instrucciones al vehículo (110) en cada punto del recorrido escogido en tiempo real, particularizado a cada vehículo en función sus características (80), desde un dispositivo (40) instalado en el mismo desde el cual se gobiernan los distintos sistemas integrantes de la invención, en función de su geoposición real traspuesta al modelo (70), en condiciones de seguridad, confort y máxima eficiencia energética mediante la gestión del ahorro energético, calculando los momentos del recorrido en los cuales no es necesario el accionamiento del sistema de propulsión, aprovechando las energías que intervienen en el movimiento del vehículo y las fuerzas resultantes, para ahorrar energía y/o generarla en motores recargables, todo adaptado a los principios del trazado",G05D1/021; G08G1/167; G01S13/931; G05D1/0212; B60K31/00,
122428-2024,ES2394994A1,DISPOSITIVO DE CONDUCCIÓN ASISTIDA,"Dispositivo de conducción asistida para vehículos que constituye una interfaz hombre - máquina para facilitar la conducción de vehículos (3) propulsados por motores tales como sillas de ruedas, carros eléctricos, etc. y que básicamente comprende un sensor táctil (1) destinado a instalarse en el asa o manillar (2) del vehículo y medios para el procesado y acondicionamiento de la información que proporciona el sensor (1) de forma que las intenciones del usuario se transformen en instrucciones al sistema motor del vehículo.",G05G1/02; G05G1/52; B60L2200/34,
122428-2024,ES2552604A1,SISTEMA Y MÉTODO DE CONTROL DE SUPERVISIÓN VIA UNA RED TELEMÁTICA DE DATOS.,"Sistema y método de control y supervisión vía una red telemática de datos. El sistema es un sistema micro-controlado (1) y supervisa y controla una serie de dispositivos (8) tales como electrodomésticos, equipos de imagen y sonido, o maquinaria industrial. El sistema consta de sensores (3) para la recogida de datos (2) de los dispositivos (8) a controlar y actuadores (3') para enviar instrucciones (2') a dichos dispositivos (8). Los datos e instrucciones son gestionados y almacenados por una centralita (4). La centralita tiene un script (412), conectado a una base de datos (100) de datos (2) e instrucciones (2'), y está conectada a través de internet a un servidor web (300) y éste a un dispositivo exterior de administración (5), tipo tablet, smartphone u ordenador, del sistema (1) a través de una aplicación web (400).",H04L67/12,
