Compound,Screened,Relevant,Rate_pct,Wilson_CI_low_pct,Wilson_CI_high_pct
Enfortumab vedotin,6,4,66.7,30.0,90.3
Plitidepsin,4,2,50.0,15.0,85.0
Omega3 acid ethyl esters,4,2,50.0,15.0,85.0
Polatuzumab vedotin,9,4,44.4,18.9,73.3
Eribulin mesylate,18,8,44.4,24.6,66.3
Cytarabine,690,123,17.8,15.2,20.9
Trabectedin,53,6,11.3,5.3,22.6
Brentuximab vedotin,67,7,10.4,5.2,20.0
Ziconotide,18,1,5.6,1.0,25.8
Vidarabine,81,4,4.9,1.9,12.0
Omega3 carboxylic acid,1,0,0.0,0,79.3
Lurbinectedin,1,0,0.0,0,79.3
