family_id,leader_id,compound,title,family_countries,has_ES
61830558,US-20180098969-A1,Brentuximab_vedotin,HODGKIN LYMPHOMA THERAPY,US,False
57121286,CA-3040155-A1,Brentuximab_vedotin,COMPOUND FOR USE IN THE TREATMENT OF HODGKIN LYMPHOMA,AU;CA;US;WO,False
60543705,EP-3538221-B1,Brentuximab_vedotin,PEDIATRIC HUMAN DOSING OF THE ANTI-CD30 ANTIBODY-DRUG CONJUGATE BRENTUXIMAB VEDOTIN,CA;CN;EP;JP;MA;US;WO,False
65362403,WO-2019036632-A1,Brentuximab_vedotin,COMPOSITIONS AND METHODS FOR DETECTION OF CD30 MRNA ISOFORMS FOR USE IN DRUG SELECTION,WO,False
53274204,US-10335494-B2,Brentuximab_vedotin,Combination of aurora kinase inhibitors and anti-CD30 antibodies,EP;JP;US;WO,False
-1,IN-202421018988-A,Brentuximab_vedotin,A METHOD OF PREPARING BRENTUXIMAB VEDOTIN,IN,False
59067913,EP-3464368-B1,Brentuximab_vedotin,USE OF AN ANTI-PD-1 ANTIBODY IN COMBINATION WITH AN ANTI-CD30 ANTIBODY IN LYMPHOMA TREATMENT,AU;BR;CA;CN;DK;EA;EP;ES;FI;HU;IL;JP;KR;MX;NZ;PL;PT;SG;SI;US;WO,True
74672470,MX-2022009389-A,Brentuximab_vedotin,ANTI-CD30 ANTIBODY-DRUG CONJUGATES AND THEIR USE FOR THE TREATMENT OF NON-HODGKIN LYMPHOMA.,AU;CA;CN;EP;HK;IL;JP;KR;MX;US;WO,False
76284179,MX-2022014225-A,Brentuximab_vedotin,METHODS OF TREATING CANCER USING A COMBINATION OF ANTI-CD30 ANTIBODY-DRUG CONJUGATES.,AU;CA;CN;EP;HK;IL;JP;KR;MX;US;WO,False
64477266,AU-2018347406-B2,Brentuximab_vedotin,Methods of reducing side effects of anti-CD30 antibody drug conjugate therapy,AR;AU;BR;CA;CN;EA;EP;HK;IL;JP;KR;MA;MX;SG;TW;US;WO,False
55909242,EP-3216859-B1,Brentuximab_vedotin,"DIFFERENTIATION-INDUCED CELL POPULATION FROM WHICH UNDIFFERENTIATED CELLS HAVE BEEN REMOVED, USE OF SAME, AND METHOD FOR PRODUCING SAME",AU;CA;CN;EP;JP;KR;SG;US;WO,False
61074014,US-20190192559-A1,Brentuximab_vedotin,COMBINATION OF PROTEASOME INHIBITORS AND ANTI-CD30 ANTIBODIES,CA;CN;EP;HK;JP;MA;US;WO,False
48539433,US-9844582-B2,Brentuximab_vedotin,Synergistic tumor treatment with extended-PK IL-2 and therapeutic agents,US;WO,False
63523585,US-20200011876-A1,Brentuximab_vedotin,Method for Simultaneous Quantification of Monoclonal Antibodies,JP;SG;US;WO,False
74037041,EP-3986439-A1,Brentuximab_vedotin,COMPOSITIONS AND METHODS USEFUL IN TREATING BRAIN DISEASES,EP;JP;US;WO,False
64557131,US-20240245753-A1,Brentuximab_vedotin,METHODS OF REDUCING SIDE EFFECTS OF ANTI-CD30 ANTIBODY DRUG CONJUGATE THERAPY,AR;AU;BR;CA;CN;EA;EP;HK;IL;JP;KR;MA;MX;SG;TW;US;WO,False
94637604,WO-2025169056-A1,Brentuximab_vedotin,METHODS OF TREATING CANCERS USING ANTI-CD30 ANTIBODY-DRUG CONJUGATES,AU;CA;CN;WO,False
68769443,IL-315565-A,Brentuximab_vedotin,METHODS OF TREATING MALIGNANT LYMPHOPROLIFERATIVE DISORDERS,AU;BR;CA;CN;EP;IL;IN;JP;KR;MO;MX;US;WO,False
87564954,AU-2023218995-A1,Brentuximab_vedotin,BIOMARKERS AND METHODS OF USE THEREOF FOR TREATMENT OF PERIPHERAL T-CELL LYMPHOMA,AU;BR;CA;CN;EP;HK;IL;IN;JP;KR;MX;RU;US;WO,False
68099245,US-20190308000-A1,Brentuximab_vedotin,Dual-Lumen Drug Reservoir Fill and Withdrawal Devices and Methods,US;WO,False
51300155,US-20200033348-A1,Brentuximab_vedotin,"METHOD FOR DIAGNOSIS, PROGNOSIS AND DETERMINATION OF TREATMENT FOR CUTANEOUS T-CELL LYMPHOMA",US;WO,False
51989431,WO-2014194213-A1,Brentuximab_vedotin,SPECIFIC COMPLEMENT PROTEINS AND EFFICACY OF ANTIBODY THERAPY,WO,False
69142297,US-20250163133-A1,Brentuximab_vedotin,SIRPalpha-4-1BBL VARIANT FUSION PROTEIN AND METHODS OF USE THEREOF,AU;BR;CA;CN;EP;HK;IL;IN;JP;KR;MX;RU;SG;US;WO,False
47423167,CA-2840170-A1,Brentuximab_vedotin,FOCUSED RADIATION FOR AUGMENTING IMMUNE-BASED THERAPIES AGAINST NEOPLASMS,AU;CA;CN;EP;US;WO,False
54478805,FR-3039832-A1,Brentuximab_vedotin,IGG1 ET LEUR UTILISATION THERAPEUTIQUE,EP;FR;US;WO,False
90730273,WO-2024191807-A1,Brentuximab_vedotin,METHODS OF TREATING CANCER WITH ANTI-TIGIT ANTIBODIES,WO,False
75161729,US-12144791-B2,Brentuximab_vedotin,"KRAS agonists, pharmaceutical compositions, and uses in managing cancer",US,False
96740415,US-20250263496-A1,Brentuximab_vedotin,Neutrophil-Activating Therapy for the Treatment of Cancer,US,False
93431199,WO-2024233781-A1,Brentuximab_vedotin,DEVICES FOR ENHANCING THE ACTIVITY OF THERAPEUTIC ANTIBODIES,WO,False
72521241,EP-3941480-A1,Brentuximab_vedotin,COMPOUNDS FOR INHIBITING FUCOSYLATION AND METHODS FOR USING THE SAME,CN;EP;HK;JP;KR;US;WO,False
