family_id,leader_id,compound,title,family_countries,has_ES
42173409,US-20130137650-A1,Cytarabine,METHODS OF TREATMENT USING COMBINATION THERAPY,AU;BR;CA;CN;EP;ES;FR;IL;IN;JP;KR;MX;NZ;RU;SG;US;WO;ZA,True
35196733,CA-2564542-C,Cytarabine,COMBINATION FORMULATIONS OF ANTHRACYCLINE AGENTS AND CYTIDINE ANALOGS,AU;BE;CA;CY;EP;ES;FR;HK;IL;JP;NL;PT;US;WO,True
58518371,CA-3002067-C,Cytarabine,COMBINATION THERAPY FOR TREATING MALIGNANCIES,AU;BR;CA;CN;DK;EA;EP;ES;FI;HK;HR;HU;IL;JP;KR;LT;MA;MD;MX;NZ;PL;PT;RS;SG;SI;SM;TH;UA;US;WO;ZA,True
95515123,WO-2025088367-A1,Cytarabine,LIPOSOMAL COMPOSITION OF IDARUBICIN AND CYTARABINE AND PROCESS FOR PREPARATION THEREOF,IN;WO,False
57208385,AU-2016340087-C1,Cytarabine,Combination therapy for treating malignancies,AU;BR;CA;CL;CN;EA;EP;HK;IL;JP;KR;MX;NZ;SG;TH;US;WO;ZA,False
49235839,CA-2868629-A1,Cytarabine,COMBINATION THERAPY FOR THE TREATMENT OF CANCER,CA;EP;JP;US;WO,False
14500416,EP-0563697-B1,Cytarabine,Cytarabine ocfosfate hard capsule,AU;BR;CA;CN;CZ;DE;EP;ES;HU;JP;KR;PL;TW;US,True
67219283,WO-2019136739-A1,Cytarabine,TREATMENTS FOR CACHEXIA,CN;EP;GB;US;WO,False
88918733,WO-2023228177-A1,Cytarabine,"COMPOSITIONS COMPRISING ASPACYTARABINE AND ADDITIONAL COMPOUNDS, AND USE THEREOF",WO,False
70852423,WO-2020112966-A1,Cytarabine,THERAPEUTIC METHODS AND COMPOSITIONS FOR TREATING ACUTE MYELOID LEUKEMIA USING DEVIMISTAT,AU;CA;EP;JP;KR;TW;US;WO,False
26958821,US-20050004081-A1,Cytarabine,Pharmaceutical combinations for the treatment of cancer,AT;AU;CA;CN;DE;EP;HU;JP;KR;MX;NO;NZ;PL;US;WO,False
