family_id,leader_id,compound,title,family_countries,has_ES
70289655,EP-4041194-B1,Trabectedin,COMPOSITION COMPRISING TRABECTEDIN AND AN AMINO ACID,AU;BR;CA;CN;EA;EP;ES;FI;HR;HU;IL;JP;KR;PL;PT;SI;US;WO;ZA,True
74060074,US-20220315605-A1,Trabectedin,"IMPROVED PROCESS FOR THE PREPARATON OF PURE (1&apos;R,6R,6aR,7R,13S,14S,16R)-5-(ACETYLOXY)-3&apos;,4&apos;,6,6a,7,13,14,16-OCTAHYDRO-6&apos;,8,14-TRIHYDROXY-7&apos;,9-DIMETHOXY-4,10,23-TRIMETHYLSPIRO[",US;WO,False
-1,IN-201841044298-A,Trabectedin,PROCESS FOR THE PREPARATION OF ECTEINASCIDIN DERIVATIVE,IN;WO,False
83319361,US-12303506-B2,Trabectedin,Trabectedin composition,EP;IN;US,False
-1,IN-2010KN03010-A,Trabectedin,IMPROVED ANTITUMORAL TREATMENTS,AU;CA;CN;EP;HK;IL;IN;JP;KR;MX;RU;US;WO,False
59499346,US-10610529-B2,Trabectedin,Trabectedin-inclusive injectable pharmaceutical composition for gastrointestinal external use and a method for manufacturing the same,AU;BR;CA;CN;EP;HK;JP;KR;MX;RU;TW;US;WO;ZA,False
-1,IN-201921042699-A,Trabectedin,STORAGE-STABLE READY-TO-USE INJECTABLE FORMULATIONS OF TRABECTEDIN,IN;US,False
70740654,WO-2020239478-A1,Trabectedin,TRABECTEDIN FOR TREATING SARCOMAS BASED ON GENOMIC MARKERS,WO,False
47225413,EP-2900271-A1,Trabectedin,COMBINATION THERAPY USING BELINOSTAT AND TRABECTEDIN,BR;CA;EP;GB;JP;KR;MX;RU;US;WO,False
81754706,WO-2022115075-A1,Trabectedin,TARGETED NANOPARTICLES CARRYING DUAL DRUGS IN THE TREATMENT OF MELANOMA,EP;WO,False
72561528,IN-201741041173-A,Trabectedin,A PHARAMACEUTICAL COMPOSITION OF TRABECTEDIN AND ITS PROCESS FOR PREPARATION,IN,False
-1,IN-202531031692-A,Trabectedin,A PROCESS FOR THE SYNTHESIS OF (S)-5-(2-AMINO-3-HYDROXYPROPYL)-2-METHOXY-3-METHYLPHENOL KEY STARTING MATERIAL (KSM) FOR TOTAL SYNTHESIS OF TRABECTEDIN,IN,False
72266146,EP-4203959-B1,Trabectedin,COMPOSITION COMPRISING TTF-NGR FOR USE IN TREATING SOFT-TISSUE SARCOMA,AU;BR;CA;CN;EA;EP;ES;HK;HR;HU;JP;KR;MX;PL;RS;US;WO,True
-1,IN-202141039392-A,Trabectedin,AN IMPROVED PROCESS FOR THE PREPARATION OF TRABECTEDIN,IN;US;WO,False
92381525,WO-2024174883-A1,Trabectedin,NANOFORMULATION CARRYING TRABECTEDIN AND PACLITAXEL,CN;US;WO,False
66819997,WO-2019114704-A1,Trabectedin,PREPARATION FOR NATURAL PRODUCT TRABECTEDIN,CN;EP;JP;US;WO,False
