family_id,leader_id,compound,title,family_countries,has_ES
20085352,EP-0731703-B1,Vidarabine,LIPOSOMAL FORMULATIONS CONTAINING VIDARABINE OR ITS DERIVATIVES,DE;EP;PT;WO,False
91485365,IL-321421-A,Vidarabine,Viroporins blockers/inhibitors as anti-influenza agents,AU;BR;CA;CN;EP;IL;IN;JP;KR;WO,False
76922983,WO-2022213447-A1,Vidarabine,PREPARATION METHOD FOR VIDARABINE MONOPHOSPHATE FREEZE-DRIED POWDER INJECTION,CN;WO,False
76926722,WO-2022227117-A1,Vidarabine,METHOD FOR SYNTHESIZING VIDARABINE MONOPHOSPHATE AND USE THEREOF,CN;WO,False
48043501,WO-2013051330-A1,Vidarabine,TREATMENT OF ATRIAL FIBRILLATION BY MEANS OF VIDARABINE,JP;WO,False
22446872,IL-146055-A,Vidarabine,CONJUGATE HAVING A CLEAVABLE LINKAGE FOR USE IN A LIPOSOME,AT;AU;CA;CN;DE;DK;EP;ES;HK;HU;IL;JP;KR;MX;NO;NZ;US;WO;ZA,True
26320292,WO-2001097749-A2,Vidarabine,"THE USE OF SYNTHETIC, NON-HORMONAL 21-AMINOSTEROIDS AND THEREOF",AU;WO,False
29397294,WO-2003092704-A1,Vidarabine,EXTERNAL PREPARATION ENHANCED IN SYSTEMIC PROPERTY OF VIDARABINE,AU;WO,False
-1,IN-308722-B,Vidarabine,"COMPLEX COMPOUNDS OF GERMANIUM, METHODS FOR PRODUCING SAME , AND DRUGS",AU;BR;CA;CN;DK;EP;ES;IN;JP;KR;PL;PT;RU;TR;US;WO,True
56127817,CA-2969372-C,Vidarabine,PHOSPHORAMIDATES FOR THE TREATMENT OF HEPATITIS B VIRUS,AU;BR;CA;CN;EA;EP;HK;IL;IN;JP;KR;PH;SG;US;VN;WO;ZA,False
40259958,US-20110182858-A1,Vidarabine,SILIBININ COMPONENT FOR THE TREATMENT OF HEPATITIS,AT;AU;BR;CA;CN;DK;EP;ES;HK;JP;KR;MX;PL;PT;RU;US;WO,True
77855106,US-20210299143-A1,Vidarabine,USE OF ANTAGONISTS TO THE NUCLEAR STEROID RECEPTOR TO INHIBIT CORONAVIRUSES,US,False
88730980,US-20250302961-A1,Vidarabine,TARGETING MYELOID-DERIVED SUPPRESSOR CELLS (MDSCS) IN BLADDER CANCER TO ENHANCE EFFICACY OF ADOPTIVE CELL THERAPY (ACT),US;WO,False
40678561,WO-2009069668-A1,Vidarabine,"AGENT FOR INCREASING THE EXPRESSION OF MALIGNANT MELANOMA ANTIGEN, AND USE THEREOF",JP;WO,False
36203610,AU-2005295541-B2,Vidarabine,Methods and compositions for reducing toxicity of a pharmaceutical compound,AT;AU;BR;CA;CN;DE;EP;IN;JP;KR;US;WO,False
32927622,EP-1611238-A2,Vidarabine,GLUTAMATE TRANSPORT MODULATORY COMPOUNDS AND METHODS,AT;AU;CA;DE;DK;EP;ES;JP;KR;MX;PL;US;WO,True
40677752,EP-2238165-A2,Vidarabine,ANTI-HIV DOMAIN ANTIBODIES AND METHOD OF MAKING AND USING SAME,EP;US;WO,False
40351396,WO-2009023356-A2,Vidarabine,MATERIALS AND METHODS FOR TREATING INFLUENZA INFECTIONS,CN;JP;US;WO,False
47278354,US-10137094-B2,Vidarabine,Gastroretentive dosage system and process of preparation thereof,AU;CA;EP;IN;US;WO;ZA,False
24612829,US-6576636-B2,Vidarabine,Method of treating a liver disorder with fatty acid-antiviral agent conjugates,US,False
45771138,US-20130150312-A1,Vidarabine,TOPICAL ANTIVIRAL FORMULATIONS,US,False
51947283,US-20170360752-A1,Vidarabine,ANTIVIRAL AGENTS DIRECTED AGAINST RESPIRATORY SYNCYTIAL VIRUS,EP;US;WO,False
