family_id,leader_id,compound,title,family_countries,has_ES
65059661,US-11814416-B2,Ziconotide,Polypeptide capable of passing through blood-brain barrier,CN;EP;JP;KR;US;WO,False
41226622,EP-2898900-A1,Ziconotide,Polymer conjugates of ziconotide,AU;CA;EP;JP;MX;US;WO,False
51621550,US-20140296830-A1,Ziconotide,METHODS OF ADMINISTERING DRUGS IN AN IMPLANTABLE MULTI-CHAMBER PUMP,US,False
41393602,US-20110171163-A1,Ziconotide,POLYMER CONJUGATES OF ZICONOTIDE PEPTIDES,EP;US;WO,False
34426056,US-20130225499-A1,Ziconotide,METHOD FOR ADMINISTERING OMEGA-CONOPEPTIDE,CA;EP;JP;US;WO,False
65059664,WO-2020056985-A1,Ziconotide,FUSION POLYPEPTIDE OF ZICONOTIDE AND TAT PEPTIDE,CN;WO,False
33310921,WO-2004093813-A2,Ziconotide,"COMPOSITIONS OF A CYCLOOXYGENASE-2 SELECTIVE INHIBITOR AND A CALCIUM MODULATING AGENT FOR THE TREATMENT OF PAIN, INFLAMMATION OR INFLAMMATION MEDIATED DISORDERS",US;WO,False
33310902,WO-2004093816-A2,Ziconotide,COMPOSITIONS COMPRISING A SELECTIVE COX-2 INHIBITOR AND A CALCIUM MODULATING AGENT,US;WO,False
65197501,WO-2020056986-A1,Ziconotide,APPLICATION OF FUSION POLYPEPTIDE OF ZICONOTIDE AND TAT PEPTIDE IN PREPARATION OF MEDICATION,CN;WO,False
27052304,LU-91181-I2,Ziconotide,"Ziconotide, optionnellement sous forme d&apos;un sel avec un acide pharmaceutiquement acceptable, y compris acetate de ziconotide (prialt).",AT;AU;CA;DE;DK;EP;ES;FR;HK;JP;LU;NL;PT;WO,True
-1,AU-2001278045-A1,Ziconotide,Epoxy-steroidal aldosterone antagonist and calcium channel blocker combination therapy for treatment of congestive heart failure,AT;AU;CA;DE;EP;ES;HK;JP;US;WO,True
32990732,US-7459430-B2,Ziconotide,Methods of using ziconotide to treat overactive bladder,US;WO,False
96058479,WO-2025128821-A1,Ziconotide,COMPOSITIONS AND METHODS FOR ADP-RIBOSYLATION FACTOR MOLECULAR TRAFFICKING,WO,False
48572178,US-20130149318-A1,Ziconotide,"PAINTING THE PIA, ARACHNOID, AND SPINAL CORD PARENCHYMA",US;WO,False
39719136,US-20070292387-A1,Ziconotide,TRANSMUCOSAL DELIVERY OF PHARMACEUTICAL ACTIVE SUBSTANCES,US,False
60787696,EP-3472155-B1,Ziconotide,DEUTERATED COMPOUNDS FOR TREATING PAIN,AU;CA;CN;EP;JP;US;WO,False
33551842,US-7125848-B2,Ziconotide,Methods of treating non-inflammatory gastrointestinal tract disorders using Cav2.2 subunit calcium channel modulators,US;WO,False
65197503,WO-2020056991-A1,Ziconotide,"POLYPEPTIDE SUITABLE FOR INTRAVENOUS, ABDOMINAL OR NASAL ADMINISTRATION",CN;WO,False
32927629,US-20060178354-A1,Ziconotide,Methods and compositions for the treatment of chronic pain using dhea and derivatives thereof,US;WO,False
27492229,US-20030073127-A1,Ziconotide,NOVEL CALCIUM CHANNEL DRUGS AND USES,US,False
64859598,WO-2020056988-A1,Ziconotide,USE OF POLYPEPTIDE CAPABLE OF PASSING THROUGH BLOOD-BRAIN BARRIER IN THE PREPARATION OF DRUG,CN;WO,False
40583140,US-20090110724-A1,Ziconotide,COMPOSITIONS AND METHODS FOR TREATMENT OF PAIN,US,False
52572785,KR-20150015581-A,Ziconotide,Process for the Preparation of Ziconotide,KR,False
91375129,WO-2025248432-A1,Ziconotide,MEDICAL PRODUCT COMPRISING AN AMPOULE MADE FROM A PLASTIC MATERIAL COMPRISING A NEURAXIAL DRUG,WO,False
55264705,US-11938218-B2,Ziconotide,High density peptide polymers,US;WO,False
64591902,WO-2020056992-A1,Ziconotide,"USE OF POLYPEPTIDE IN THE PREPARATION OF DRUG FOR INTRAVENOUS, INTRA-ABDOMINAL OR NASAL ADMINISTRATION",CN;WO,False
29584435,US-7939098-B2,Ziconotide,Compositions and method for transmucosal drug delivery and cryoprotection,AU;BR;CA;CN;EP;HK;JP;MX;NO;US;WO,False
46682745,EP-2559441-B1,Ziconotide,Protein complex for intracellular delivery and uses thereof,EP;KR;US,False
37668056,WO-2007022254-A2,Ziconotide,PHARMACEUTICAL FORMULATIONS FOR SUSTAINED DRUG DELIVERY,US;WO,False
34947115,FR-2869801-A1,Ziconotide,PROCEDE DE PREPARATION DE COMPOSITIONS A LIBERATION PROLONGEE ET UTILISATION DE CES COMPOSITIONS POUR LE TRAITEMENT DES AFFECTIONS CHRONIQUES DU SYSTEME NERVEUX CENTRAL (SNC),FR;WO,False
68610112,WO-2021069654-A1,Ziconotide,ANTISENSE OLIGONUCLEOTIDES AND THEIR USE FOR THE TREATMENT OF PAIN,CN;EP;JP;KR;US;WO,False
46207583,US-20130253170-A1,Ziconotide,HYALURONIC ACID-PROTEIN CONJUGATE AND METHOD FOR PREPARING SAME,CA;CN;EP;IN;JP;KR;US;WO,False
46851753,WO-2013020527-A1,Ziconotide,UTILIZATION OF ALAPTIDE AS TRANSDERMAL PENETRATION MODIFIER IN PHARMACEUTICAL COMPOSITIONS FOR HUMAN AND VETERINARY APPLICATIONS CONTAINING ANTI-INFLAMMATORY DRUGS AND/OR ANTIMICROBIAL CHEMOTHERAPEUTI,WO,False
36580033,US-20060193918-A1,Ziconotide,Solvent/polymer solutions as suspension vehicles,AR;TW;US;WO,False
