family_id,leader_id,compound,title,family_countries,has_ES
85227402,WO-2024165764-A1,Plitidepsin,PLITIDEPSIN FOR USE IN THE TREATMENT OF NON-INTEGRATED DNA VIRAL INFECTIONS,WO,False
96682228,CN-120478341-A,Plitidepsin,Plitidepsin在制备用于治疗肥胖和提高糖代谢的药物中的应用,CN,False
74867521,US-20230107186-A1,Plitidepsin,COBICISTAT FOR PREVENTION AND/OR TREATMENT OF CORONAVIRUS INFECTIONS,EP;US;WO,False
83155611,US-20240122893-A1,Plitidepsin,METHODS FOR INHIBITING CORONAVIRUSES USING SULFORAPHANE,US;WO,False
70391037,WO-2021209563-A1,Plitidepsin,COMPOUNDS FOR USE IN THE TREATMENT OF VIRAL INFECTIONS BY RESPIRATORY SYNDROME-RELATED CORONAVIRUS,US;WO,False
80248155,US-20240269125-A1,Plitidepsin,METHODS OF TREATING CORONAVIRUS INFECTIONS BY CO-ADMINISTERING AN FKBP LIGAND AND AN ANTIVIRAL AGENT,CA;US;WO,False
96264689,US-20250221947-A1,Plitidepsin,METHODS FOR TREATING A CORONAVIRUS INFECTION USING VALPROIC ACID AND DOCOSAHEXAENOIC ACID,US,False
59274052,CA-3010862-A1,Plitidepsin,METHODS AND DEVICES FOR TREATING POSTERIOR OCULAR DISORDERSWITH AFLIBERCEPT AND OTHER BIOLOGICS,AU;BR;CA;CN;EP;IN;JP;KR;MX;WO,False
80350594,WO-2022040045-A1,Plitidepsin,SOD MIMETIC AND METHODS OF USING SAME FOR THE TREATMENT OF COVID-19,WO,False
74732953,CA-3169540-A1,Plitidepsin,COMPOUNDS FOR USE IN VIRAL INFECTIONS,AU;BR;CA;CL;CN;CO;EA;EP;HK;IL;JP;KR;MX;MY;PE;PY;TW;US;UY;WO,False
54936084,US-20180042765-A1,Plitidepsin,METHODS AND DEVICES FOR TREATING POSTERIOR OCULAR DISORDERS,AU;BR;CA;CN;EP;HK;IL;JP;KR;MX;RU;US;WO,False
82704548,US-20220249467-A1,Plitidepsin,METHOD FOR IDENTIFYING TREATMENT OF INFECTIONS CAUSED BY PATHOGENS OF DIVERSE ORIGIN,US,False
77168158,EP-4122466-A1,Plitidepsin,ENTRECTINIB AS ANTIVIRAL AGENT,EP;WO,False
59274411,WO-2017120600-A1,Plitidepsin,COMPOSITIONS AND METHODS OF TREATING WET AGE-RELATED MACULAR DEGENERATION,WO,False
84332020,US-20230119141-A1,Plitidepsin,USES OF TAXIFOLIN FOR RESPIRATORY HEALTH,US;WO,False
50900491,CN-103861107-A,Plitidepsin,一种药物组合物及其用途,CN,False
-1,IN-201637044187-A,Plitidepsin,METHODS AND DEVICES FOR TREATING POSTERIOR OCULAR DISORDERS,IN,False
81658821,US-20220160741-A1,Plitidepsin,Method and Compositions for Treating Coronavirus Infection,US,False
71944019,WO-2022028917-A2,Plitidepsin,METHODS FOR THE DETERMINATION OF THE PREDISPOSITION FOR A SEVERE OR CRITICAL COURSE OF A COVID-19-DISEASE FROM A MILD OR MODERATE COURSE OF A COVID-19-DISEASE IN A SUBJECT,CN;EP;US;WO,False
50685178,US-12350261-B2,Plitidepsin,Methods and devices for the treatment of ocular diseases in human subjects,AU;BR;CA;CN;EA;EP;ES;HK;IL;IN;JP;KR;MX;PH;SG;US;WO,True
50752014,CN-103816535-A,Plitidepsin,一种肿瘤疫苗及其制备方法,CN,False
50239666,EP-2992953-B1,Plitidepsin,"METHOD FOR PRODUCING A MICROENCAPSULATE, MICROENCAPSULATE AND COMPOSITION.",DK;EP;ES;US;WO,True
