family_id,leader_id,compound,title,family_countries,has_ES
49325313,US-8652518-B2,Omega3_acid_ethyl_esters,"Compositions and methods for the prevention and treatment of diseases or conditions associated with oxidative stress, inflammation, and metabolic dysregulation",US,False
40853060,EP-2455070-A1,Omega3_acid_ethyl_esters,Capsule Formulation,AU;BR;CA;CN;CO;CR;DO;EA;EC;EP;HK;ID;IL;IN;JP;KR;MA;MX;MY;NZ;TN;UA;US;VN;WO;ZA,False
88199579,WO-2023187789-A1,Omega3_acid_ethyl_esters,TREATMENT OF BRAIN TUMORS BY TARGETING THE CHOLESTEROL PATHWAY IN ASTROCYES,EP;US;WO,False
83600413,KR-102561482-B1,Omega3_acid_ethyl_esters,COMPOSITION FOR PREVENTING HAIR LOSS AND IMPROVING HAIR GROWTH AND PRODUCT COMPRISING THEREOF,KR,False
83284040,US-12254985-B2,Omega3_acid_ethyl_esters,Diagnosis assistance method and cardiovascular disease diagnosis assistance method,US,False
37246305,EP-2074992-A1,Omega3_acid_ethyl_esters,Pharmaceutical formulations,AU;BR;CA;CN;EA;EP;ES;HK;IL;IN;JP;KR;MX;NO;SG;UA;US;VN;WO,True
46380944,US-20120171150-A1,Omega3_acid_ethyl_esters,Ion Bonding Pharmaceutical Composition,US,False
47892067,WO-2013134482-A1,Omega3_acid_ethyl_esters,"METHODS FOR ENHANCING, IMPROVING, OR INCREASING FERTILITY OR REPRODUCTIVE FUNCTION",AU;CA;EP;JP;US;WO,False
40226045,EP-2172225-B1,Omega3_acid_ethyl_esters,SEAMLESS CAPSULE,AU;CN;EP;ES;HK;ID;IN;JP;KR;MY;NZ;TW;US;VN;WO,True
46172487,AU-2017203953-B2,Omega3_acid_ethyl_esters,LOW ERUCTATION COMPOSITION AND METHODS FOR TREATING AND/OR PREVENTING CARDIOVASCULAR DISEASE IN A SUBJECT WITH FISH ALLERGY/HYPERSENSITIVITY,AU;EP;NZ;US;WO,False
50513493,US-10639308-B2,Omega3_acid_ethyl_esters,sGC stimulators,AU;BR;CA;CN;CY;DK;EA;EP;ES;HK;HR;HU;IL;IN;JP;KR;LT;ME;MO;MX;PL;PT;RS;SI;US;WO,True
81708444,US-12281070-B2,Omega3_acid_ethyl_esters,Water soluble antiviral and antimicrobial compound and process for preparation thereof,US;WO,False
93283617,WO-2025080939-A1,Omega3_acid_ethyl_esters,COMPOSITIONS AND METHODS FOR TREATING CONDITIONS ASSOCIATED WITH CARTILAGE OLIGOMERIC MATRIX PROTEIN (COMP) MUTATIONS,CA;EP;WO,False
48699862,WO-2013150386-A2,Omega3_acid_ethyl_esters,"COMPOSITIONS COMPRISING OMEGA-3 FATTY ACIDS AND VITAMIN D FOR ACNE VULGARIS AND/OR ECZEMA, AND METHODS AND USES THEREOF",DK;EP;ES;TW;US;WO,True
78292167,CA-3116518-A1,Omega3_acid_ethyl_esters,CXCL10 INHIBITORS,CA;US,False
40027739,US-20080286343-A1,Omega3_acid_ethyl_esters,Solid form,US,False
38626365,WO-2008140460-A1,Omega3_acid_ethyl_esters,SOLID FORM,WO,False
40027740,US-20080286344-A1,Omega3_acid_ethyl_esters,Solid form,US,False
38582032,US-20080014228-A1,Omega3_acid_ethyl_esters,Solid form,EP;US;WO,False
39456509,WO-2008140461-A1,Omega3_acid_ethyl_esters,SOLID FORM,WO,False
40132556,US-20080311162-A1,Omega3_acid_ethyl_esters,Solid form,US,False
38665270,WO-2008140459-A1,Omega3_acid_ethyl_esters,SOLID FORM,WO,False
55759584,WO-2016150936-A1,Omega3_acid_ethyl_esters,"PURIFIED COMPOSITIONS OF POLYUNSATURATED FATTY ACIDS, THEIR PREPARATION METHOD AND THEIR USE",CN;EP;JP;US;WO,False
48670011,WO-2013150384-A1,Omega3_acid_ethyl_esters,"COMPOSITIONS COMPRISING OMEGA-3 FATTY ACIDS AND VITAMIN D FOR PSORIASIS, AND METHODS AND USES THEREOF",EP;US;WO,False
92304683,US-20240282425-A1,Omega3_acid_ethyl_esters,AUTHENTICATION METHODS AND SYSTEMS FOR DISPENSED PRESCRIPTIONS,CA;EP;JP;US;WO,False
73476280,IL-292487-A,Omega3_acid_ethyl_esters,Prodrug compositions and methods of treatment,AU;BR;CA;CN;EP;IL;JP;KR;MX;US;WO,False
