family_id,leader_id,compound,title,family_countries,has_ES
82594732,AU-2022273063-A1,Polatuzumab_vedotin,METHODS OF USING ANTI-CD79B IMMUNOCONJUGATES TO TREAT DIFFUSE LARGE B-CELL LYMPHOMA,AU;BR;CA;CN;EP;HK;IL;JP;KR;MX;RU;TW;US;WO,False
70919242,CA-3138045-C,Polatuzumab_vedotin,METHODS OF USING ANTI-CD79B IMMUNOCONJUGATES TO TREAT FOLLICULAR LYMPHOMA,AU;BR;CA;CN;EP;HK;IL;JP;KR;MX;TW;US;WO,False
83149175,EP-4380978-A1,Polatuzumab_vedotin,METHODS OF USING ANTI-CD79B IMMUNOCONJUGATES TO TREAT DIFFUSE LARGE B-CELL LYMPHOMA,CN;EP;HK;JP;KR;TW;US;WO,False
82547385,EP-4362983-A1,Polatuzumab_vedotin,COMBINATION THERAPY USING ANTIBODY-DRUG CONJUGATES,AU;CA;CN;EA;EP;HK;IL;IN;JP;KR;MX;US;WO,False
54261107,CA-3069221-A1,Polatuzumab_vedotin,METHODS OF USING ANTI-CD79B IMMUNOCONJUGATES,AU;BR;CA;DK;EP;ES;HK;HR;HU;LT;MX;PL;PT;RS;SI;US;WO,True
85158380,US-20230303693-A1,Polatuzumab_vedotin,BISPECIFIC ANTIBODY AGAINST CD3 AND CD20 IN COMBINATION THERAPY FOR TREATING DIFFUSE LARGE B-CELL LYMPHOMA,AU;BR;CA;CN;EP;HK;IL;JP;KR;MX;TW;US;WO,False
75919405,AU-2021259861-A1,Polatuzumab_vedotin,Methods of using anti-CD79b immunoconjugates,AU;BR;CA;CN;EP;HK;IL;JP;KR;MX;TW;US;WO,False
82016413,US-12291575-B2,Polatuzumab_vedotin,Methods for treatment of CD20-positive proliferative disorder with mosunetuzumab and polatuzumab vedotin,AU;BR;CA;CN;EP;HK;IL;JP;KR;MX;RU;US;WO,False
78536199,US-20250206835-A1,Polatuzumab_vedotin,DOSING FOR COMBINATION TREATMENT WITH ANTI-CD20/ANTI-CD3 BISPECIFIC ANTIBODY AND ANTI-CD79B ANTIBODY DRUG CONJUGATE,AU;BR;CA;CN;EP;HK;IL;JP;KR;MX;RU;TW;US;WO,False
88730555,EP-4523702-A1,Polatuzumab_vedotin,COMBINATION OF ANTIBODY-DRUG CONJUGATE AND ANTI-SIRPALPHA ANTIBODY,BR;CA;CN;EP;HK;JP;KR;TW;US;WO,False
94282497,WO-2025019334-A2,Polatuzumab_vedotin,ANTIBODY-DRUG CONJUGATES AND LINKERS AND METHODS OF USE THEREOF,CA;CN;EP;IL;IN;JP;KR;US;WO,False
75490869,US-20250064829-A1,Polatuzumab_vedotin,METHODS OF USING ANTI-CD79B IMMUNOCONJUGATES TO TREAT DIFFUSE LARGE B-CELL LYMPHOMA,US,False
91853331,WO-2024254455-A1,Polatuzumab_vedotin,MACROPHAGE SIGNATURES FOR DIAGNOSTIC AND THERAPEUTIC METHODS FOR LYMPHOMA,AU;CA;CN;EP;IL;JP;KR;MX;RU;TW;US;WO,False
96740415,US-20250263496-A1,Polatuzumab_vedotin,Neutrophil-Activating Therapy for the Treatment of Cancer,US,False
68161211,AU-2019252941-A1,Polatuzumab_vedotin,Stable anti-CD79B immunoconjugate formulations,AR;AU;BR;CA;CL;CN;CR;EP;HK;ID;IL;JP;KR;MX;MY;PE;RU;TW;UA;US;WO,False
72521241,EP-3941480-A1,Polatuzumab_vedotin,COMPOUNDS FOR INHIBITING FUCOSYLATION AND METHODS FOR USING THE SAME,CN;EP;HK;JP;KR;US;WO,False
54478805,FR-3039832-A1,Polatuzumab_vedotin,IGG1 ET LEUR UTILISATION THERAPEUTIQUE,EP;FR;US;WO,False
92675718,WO-2024187122-A2,Polatuzumab_vedotin,COMPOSITIONS AND SYSTEMS FOR COMBINATORIAL THERAPIES CONTAINING FUCOSYLATED STEM CELLS AND HEMATOPOIETIC ENHANCERS AND/OR IMMUNOTHERAPEUTICS AND METHODS OF PRODUCTION AND USE THEREOF,CA;EP;JP;WO,False
52394341,US-11186650-B2,Polatuzumab_vedotin,Anti-CD3 antibodies and methods of use,AR;AU;BR;CA;CL;CN;CR;DK;EA;EP;ES;FI;FR;GC;HK;HR;HU;ID;IL;IN;JP;KR;LT;MA;MO;MX;MY;NL;NO;NZ;PE;PH;PL;PT;RS;SG;SI;TW;UA;US;VN;WO;ZA,True
93431199,WO-2024233781-A1,Polatuzumab_vedotin,DEVICES FOR ENHANCING THE ACTIVITY OF THERAPEUTIC ANTIBODIES,WO,False
93936308,WO-2024263974-A2,Polatuzumab_vedotin,IN SITU THERAPEUTIC PRODUCTION: METHODS AND COMPOSITIONS,AU;EP;WO,False
