family_id,leader_id,compound,title,family_countries,has_ES
81748415,US-12065494-B2,Enfortumab_vedotin,Combination therapy comprising an FGFR inhibitor and a Nectin-4 targeting agent,CA;EP;HK;JP;TW;US;WO,False
87036781,EP-4532548-A1,Enfortumab_vedotin,COMBINATION THERAPIES FOR TREATING UROTHELIAL CARCINOMA,AU;BR;CA;CN;EP;IL;JP;KR;MX;US;WO,False
88315704,US-12419964-B2,Enfortumab_vedotin,Antibody drug conjugate (ADC) targeting Nectin 4 and comprising an exatecan payload,AR;CA;CN;EP;JP;TW;US;WO,False
91485770,WO-2024129552-A2,Enfortumab_vedotin,"COMBINATION THERAPY OF A PD-1 ANTAGONIST, A LAG3 ANTAGONIST AND AN ANTIBODY DRUG CONJUGATE THAT BINDS 191P4D12 PROTEIN FOR TREATING PATIENTS WITH CANCER",TW;WO,False
88237621,EP-4534102-A1,Enfortumab_vedotin,ANTIBODY DRUG CONJUGATE (ADC) TARGETING NECTIN 4 AND COMPRISING AN EXATECAN PAYLOAD,EP,False
91485771,WO-2024129554-A2,Enfortumab_vedotin,"COMBINATION THERAPY OF A PD-1 ANTAGONIST, A TIGIT ANTAGONIST AND AN ANTIBODY DRUG CONJUGATE THAT BINDS 191P4D12 PROTEIN FOR TREATING PATIENTS WITH CANCER",TW;WO,False
94824174,WO-2025170959-A1,Enfortumab_vedotin,COMBINATION OF THE FGFR 3 INHIBITOR TYRA-300 AND A NECTIN-4 TARGETING AGENT-DRUG CONJUGATE FOR USE IN THE TREATMENT OF CANCER,WO,False
93936206,WO-2024263630-A1,Enfortumab_vedotin,NECTIN-4 ANTIBODIES AND ANTIBODY-DRUG CONJUGATES,AR;AU;CA;CL;CN;CO;CR;DO;EP;HK;ID;IL;IN;JO;JP;KR;MX;MY;PE;TW;US;VN;WO,False
72521241,EP-3941480-A1,Enfortumab_vedotin,COMPOUNDS FOR INHIBITING FUCOSYLATION AND METHODS FOR USING THE SAME,CN;EP;HK;JP;KR;US;WO,False
54478805,WO-2017021631-A1,Enfortumab_vedotin,IG1 AND THE THERAPEUTIC USE THEREOF,EP;FR;US;WO,False
92675718,WO-2024187122-A2,Enfortumab_vedotin,COMPOSITIONS AND SYSTEMS FOR COMBINATORIAL THERAPIES CONTAINING FUCOSYLATED STEM CELLS AND HEMATOPOIETIC ENHANCERS AND/OR IMMUNOTHERAPEUTICS AND METHODS OF PRODUCTION AND USE THEREOF,CA;EP;JP;WO,False
94733908,WO-2025165975-A1,Enfortumab_vedotin,LITHIUM FOR USE IN THE TREATMENT OF ANTIBODY DRUG CONJUGATE (ADC)-INDUCED NEUROPATHY,WO,False
94282497,WO-2025019334-A2,Enfortumab_vedotin,ANTIBODY-DRUG CONJUGATES AND LINKERS AND METHODS OF USE THEREOF,CA;CN;EP;IL;IN;JP;KR;US;WO,False
93431199,WO-2024233781-A1,Enfortumab_vedotin,DEVICES FOR ENHANCING THE ACTIVITY OF THERAPEUTIC ANTIBODIES,WO,False
93936308,WO-2024263974-A2,Enfortumab_vedotin,IN SITU THERAPEUTIC PRODUCTION: METHODS AND COMPOSITIONS,AU;EP;WO,False
83195348,US-20220287986-A1,Enfortumab_vedotin,Intraarterial (IA) Application of Low Dose of Ethyl Alcohol Enables Blood-Brain Barrier (BBB) Impermeable Therapeutics Brain Entry,US,False
88730985,WO-2023220336-A1,Enfortumab_vedotin,"METHODS, SYSTEMS, AND APPARATUS FOR ADMINISTERING AN ANTIBODY TREATMENT VIA INFUSION",US;WO,False
85413190,WO-2023034336-A2,Enfortumab_vedotin,IMPROVED TREATMENTS FOR ADVANCED/METASTATIC CANCERS WITH CHECKPOINT INHIBITOR RESISTANCE OR RESISTANCE SUSCEPTIBILITY,CN;HK;TW;WO,False
45871300,NO-2022039-I1,Enfortumab_vedotin,Enfortumab vedotin,AU;BR;CA;CN;CY;DK;EA;EP;ES;FR;HK;HR;HU;ID;IL;IN;JP;KR;LT;LU;MO;MX;NL;NO;PH;PL;PT;RS;SI;SM;TW;UA;US;WO,True
77338594,US-20240350589-A1,Enfortumab_vedotin,IL-2/IL-15RBETAGAMMA AGONIST COMBINATION WITH ANTIBODY-DRUG CONJUGATES FOR TREATING CANCER,AU;CA;EP;JP;KR;US;WO,False
87074240,IL-313915-A,Enfortumab_vedotin,METHODS FOR TREATING MUSCLE INVASIVE UROTHELIAL CANCER OR MUSCLE INVASIVE BLADDER CANCER WITH ANTIBODY DRUG CONJUGATES (ADC) THAT BIND TO 191P4D12 PROTEINS,AU;BR;CA;CN;EA;EP;HK;IL;JP;KR;MX;MY;TW;US;WO,False
63556360,AU-2018287514-B2,Enfortumab_vedotin,Diagnosis and treatment of cancer,AU;CA;CN;EP;JP;KR;US;WO,False
89853596,WO-2025168693-A1,Enfortumab_vedotin,LEUCINE FOR USE IN THE TREATMENT OF CANCER,EP;WO,False
87849872,AU-2022229358-A1,Enfortumab_vedotin,METHODS AND COMPOSITIONS FOR THE DELIVERY OF RETROVIRAL PARTICLES,AU;BR;CA;CN;CU;EP;HK;IL;IN;JP;KR;MX;RU;SG;TW;US;WO,False
58103423,US-20170056504-A1,Enfortumab_vedotin,METHOD OF EXTENDING HALF-LIFE OF CRYSTALINE ANTIBODIES,US,False
96921719,WO-2025184499-A1,Enfortumab_vedotin,METHODS AND MATERIALS FOR TREATING CANCER,WO,False
91961713,US-20250177710-A1,Enfortumab_vedotin,MEDICAL SYSTEMS FOR TREATING CONDITIONS AND DISEASES OF THE PATIENT&apos;S BODY CAVITIES,US,False
74494891,AU-2021213421-B2,Enfortumab_vedotin,Treatment of cancer,AU;CA;CN;DK;EP;ES;JP;US;WO,True
-1,HK-40096569-A,Enfortumab_vedotin,USE OF AN ANTI-PD-1 ANTIBODY IN THE MANUFACTURE OF A MEDICAMENT FOR TREATING UROTHELIAL CARCINOMA,CN;EP;HK;US;WO,False
94028849,CN-119236097-A,Enfortumab_vedotin,糖化学修饰的工程化抗体偶联药物在制备HER2阳性的癌症治疗产品中的用途,CN,False
88689327,CA-3158870-A1,Enfortumab_vedotin,PROTEIN-RELEASE SYSTEM FOR SUSTAINED RELEASE OF PROTEINS,CA,False
79023909,US-20210398607-A1,Enfortumab_vedotin,METHODS FOR DESIGNING ANTIBODY SMALL-MOLECULE CONJUGATES,US,False
80777582,IL-301163-A,Enfortumab_vedotin,METHODS FOR TREATING CANCERS WITH ANTIBODY DRUG CONJUGATES (ADC) THAT BIND TO 191P4D12 PROTEINS,AU;CA;CN;EP;HK;ID;IL;JP;KR;MX;MY;PH;TW;US;WO,False
93936388,WO-2024263795-A2,Enfortumab_vedotin,COMBINATION TREATMENT TO PREVENT OR MINIMIZE CHEMOTHERAPY-INDUCED PERIPHERAL NEUROPATHY,WO,False
97064613,WO-2025194100-A1,Enfortumab_vedotin,HUMANIZED SSTR2 MONOCLONAL ANTIBODY AND METHODS OF USE THEREOF,WO,False
58053261,US-20170035886-A1,Enfortumab_vedotin,"AMPHIPHILIC DERIVATIVES OF TRIAZAMACROCYCLIC COMPOUNDS, PRODUCTS AND COMPOSITIONS INCLUDING SAME, AND SYNTHESIS METHODS AND USES THEREOF",US,False
