family_id,leader_id,compound,title,family_countries,has_ES
-1,IN-202021051262-A,Eribulin_mesylate,&quot;PROCESS FOR PREPARATION OF ERIBULIN MESYLATE&quot;,IN,False
-1,IN-201841044877-A,Eribulin_mesylate,PROCESS FOR THE PREPARATION OF HIGH PURE ERIBULIN AND ITS MESYLATE SALT,IN;US;WO,False
74187564,US-20210177802-A1,Eribulin_mesylate,PHARMACEUTICAL COMPOSITION FOR TREATING TUMOR,AU;BR;CA;CN;EP;ES;HK;ID;IL;IN;JP;KR;MA;MX;MY;NZ;PH;RU;TW;US;WO;ZA,True
-1,IN-201921023560-A,Eribulin_mesylate,IMPROVED PROCESS FOR THE PREPARATION OF ERIBULIN MESYLATE INTERMEDIATE,IN;US,False
54324505,AU-2015247806-A1,Eribulin_mesylate,Drug delivery conjugates for treating resistant cancer and for use in combination therapy,AU;CA;CN;EA;EP;IL;IN;JP;PH;US;VN;WO,False
59852287,WO-2017159877-A1,Eribulin_mesylate,USE OF ERIBULIN AND 3-QUINUCLIDINONE DERIVATIVES IN THE TREATMENT OF CANCER,WO,False
60892547,US-20180009825-A1,Eribulin_mesylate,METHODS OF MAKING ERIBULIN MESYLATE,IN;US,False
-1,IN-349478-B,Eribulin_mesylate,MACROCYCLIZATION REACTIONS AND INTERMEDIATES USEFUL IN THE SYNTHESIS OF ANALOGS OF HALICHONDRIN B,BR;CA;CN;EP;ES;HU;IL;IN;JP;RU;SG;US;WO,True
-1,IN-201917018181-A,Eribulin_mesylate,COMBINATION OF A PD-1 ANTAGONIST AND ERIBULIN FOR TREATING UROTHELIAL CANCER,AU;BR;CA;CN;EP;IL;IN;JP;KR;MX;SG;US;WO,False
60993053,WO-2018016563-A1,Eribulin_mesylate,USE OF ERIBULIN AND HISTONE DEACETYLASE INHIBITORS IN THE TREATMENT OF CANCER,EP;JP;US;WO,False
55586425,US-20180071247-A1,Eribulin_mesylate,COMBINATION OF A PD-1 ANTAGONIST AND ERIBULIN FOR TREATING CANCER,AU;BR;CA;CN;EP;IL;IN;JP;KR;MX;RU;SG;US;WO,False
60159748,US-20190111022-A1,Eribulin_mesylate,Method for Inhibiting Tumor Growth,EP;ES;JP;US;WO,True
77533266,US-20220402933-A1,Eribulin_mesylate,SYNTHESIS OF ERIBULIN MESYLATE,CN;US;WO,False
65015399,US-20200129473-A1,Eribulin_mesylate,USE OF ERIBULIN AND CYCLIN DEPENDENT KINASE INHIBITORS IN THE TREATMENT OF CANCER,EP;JP;US;WO,False
51210708,CA-2915005-C,Eribulin_mesylate,USE OF ERIBULIN AND LENVATINIB AS COMBINATION THERAPY FOR TREATMENT OF CANCER,AU;BR;CA;CN;EP;ES;IL;IN;JP;KR;RU;US;WO,True
54699806,US-20170100368-A1,Eribulin_mesylate,USE OF ERIBULIN AND POLY (ADP RIBOSE) POLYMERASE (PARP) INHIBITORS AS COMBINATION THERAPY FOR THE TREATMENT OF CANCER,EP;JP;US;WO,False
65723830,WO-2019055493-A1,Eribulin_mesylate,METHODS AND CHEMICALS FOR TREATMENT OF MEK RELATED PATHOLOGIES,WO,False
57320446,WO-2016187122-A1,Eribulin_mesylate,METHODS FOR TREATING TUMORS IN SITU INCLUDING INTRATUMOR INJECTION OF CYTOTOXIC PARTICLES AND IMMUNE CHECKPOINT BLOCKADE THERAPY,US;WO,False
64270916,US-11419856-B2,Eribulin_mesylate,Pharmaceutical combinations for use in the treatment of neoplastic diseases,EP;US;WO,False
-1,IN-201821028383-A,Eribulin_mesylate,CONTINUOUS FLOW PROCESS OF HALICHONDRIN B ANALOGUES,IN,False
70612537,EP-3877422-A1,Eribulin_mesylate,THERAPEUTIC REGIMENS FOR TREATMENT OF CANCER USING ERIBULIN AND SELECTIVE CDK4/6 INHIBITOR COMBINATIONS,CN;EP;HK;JP;US;WO,False
54055761,US-20170071903-A1,Eribulin_mesylate,USE OF ERIBULIN AND MTOR INHIBITORS AS COMBINATION THERAPY FOR THE TREATMENT OF CANCER,AU;CA;CN;EP;IL;IN;JP;KR;RU;SG;US;WO,False
68099245,US-20190308000-A1,Eribulin_mesylate,Dual-Lumen Drug Reservoir Fill and Withdrawal Devices and Methods,US;WO,False
63371795,US-20190046513-A1,Eribulin_mesylate,COMBINATION THERAPIES OF HDAC INHIBITORS AND TUBULIN INHIBITORS,US;WO,False
-1,IN-2013CN08197-A,Eribulin_mesylate,MICROREACTOR PROCESS FOR HALICHONDRIN B ANALOG SYNTHESIS,IN;WO,False
51894920,US-20140339088-A1,Eribulin_mesylate,DIELECTROPHORESIS METHODS FOR DETERMINING A PROPERTY OF A PLURALITY OF CANCER CELLS,US,False
50189819,AU-2014200717-A1,Eribulin_mesylate,Liposome composition,AU;BR;CA;CL;CN;CO;CY;DK;EP;ES;HK;HR;HU;ID;IL;IN;JP;KR;LT;MA;ME;MX;MY;NZ;PE;PL;PT;RS;RU;SG;SI;SM;TH;TW;UA;US;VN;WO;ZA,True
62710318,US-10865212-B2,Eribulin_mesylate,Intermediate for preparing eribulin mesylate and process for preparing the same,CN;EP;ES;JP;US;WO,True
45816006,US-20140212410-A1,Eribulin_mesylate,CO-ADMINISTRATION OF ERIBULIN AND FARLETUZUMAB FOR THE TREATMENT OF BREAST CANCER,EP;JP;US;WO,False
52133875,US-20170340629-A1,Eribulin_mesylate,MASITINIB COMBINATION FOR USE IN TREATING BREAST CANCER,US;WO,False
50980344,AU-2014279721-A1,Eribulin_mesylate,Pharmaceutical combinations of a PI3K inhibitor and a microtubule destabilizing agent,AU;BR;CA;CN;EP;JP;KR;MX;RU;US;WO,False
45879070,US-20140235707-A1,Eribulin_mesylate,METHODS AND COMPOSITIONS FOR PREDICTING RESPONSE TO ERIBULIN,CA;CN;EP;ES;IN;JP;SG;US;WO,True
