family_id,leader_id,compound,title,family_countries,has_ES
96661841,US-20250255804-A1,Lurbinectedin,LIQUID INJECTABLE COMPOSITIONS OF LURBINECTEDIN,IN;US,False
-1,IN-202341012003-A,Lurbinectedin,PROCESS FOR PREPARATION OF LURBINECTEDIN AND INTERMEDIATES THEREOF,IN,False
-1,IN-202421011127-A,Lurbinectedin,Novel crystalline polymorphic form of lurbinectedin.,IN,False
83228309,EP-4304652-A1,Lurbinectedin,METHODS FOR TREATING SMALL CELL LUNG CANCER AND OTHER NEUROENDOCRINE CANCERS,CN;EP;JP;US;WO,False
-1,IN-202343025835-A,Lurbinectedin,AN IMPROVED PROCESS FOR THE PREPARATION OF LURBINECTEDIN AND ITS POLYMORPHS THEREOF,IN,False
95582309,WO-2025094002-A1,Lurbinectedin,LURBINECTEDIN FORMULATION,CA;WO,False
84819808,WO-2024133947-A1,Lurbinectedin,LURBINECTEDIN AND CYP3A4 INHIBITOR COMBINATION,WO,False
88833985,AU-2023382514-A1,Lurbinectedin,LURBINECTEDIN AND DOXORUBICIN COMBINATION,AU;BR;CA;EA;EP;IL;JO;JP;KR;MX;TW;WO,False
73642803,WO-2022101255-A1,Lurbinectedin,LURBINECTEDIN AND IRINOTECAN COMBINATIONS,WO,False
86386988,MX-2025010161-A,Lurbinectedin,ANTIBODY-DRUG CONJUGATES COMPRISING TRABECTEDIN AND LURBINECTEDIN DERIVATIVES,AU;CA;CN;EP;JP;KR;MX;WO,False
96591377,WO-2025165852-A1,Lurbinectedin,LIQUID FORMULATIONS OF LURBINECTEDIN,WO,False
72470344,US-20230310426-A1,Lurbinectedin,COMBINATION OF LURBINECTEDIN AND IMMUNE CHECKPOINT INHIBITOR,AU;CA;CO;CR;DO;JP;KR;MX;PE;US;WO,False
67902455,EP-4025217-A1,Lurbinectedin,LURBINECTEDIN IN THE TREATMENT OF MALIGNANT MESOTHELIOMA,AU;BR;CA;CL;CN;EP;HK;IL;JP;KR;MX;MY;TW;US;WO,False
95021952,WO-2025059336-A1,Lurbinectedin,AN IMPROVED PROCESS FOR PREPARATION OF LURBINECTEDIN,EP;WO,False
94388496,US-20250041313-A1,Lurbinectedin,COMBINATION THERAPY FOR TREATMENT OF CANCER,US,False
78820304,EP-4430075-A1,Lurbinectedin,LURBINECTEDIN AND ATEZOLIZUMAB COMBINATIONS,AU;BR;CA;EP;HK;IL;JP;KR;MX;US;WO,False
90365213,WO-2024188978-A1,Lurbinectedin,LURBINECTEDIN AS MCL-1 INHIBITOR AND COMBINATIONS THEREOF FOR USE IN TREATING CANCER,WO,False
-1,IN-202343024250-A,Lurbinectedin,AN IMPROVED PROCESS FOR THE PREPARATION OF LURBINECTEDIN AND ITS POLYMORPHS THEREOF,IN,False
95655138,IN-202241053250-A,Lurbinectedin,IMPROVED PROCESS FOR THE PREPARATION OF LURBINECTEDIN,IN,False
83864103,EP-4520760-A1,Lurbinectedin,LURBINECTEDIN CRYSTAL FORM AND METHOD FOR PREPARING SAME,CN;EP;US;WO,False
71159689,CN-111298122-A,Lurbinectedin,Pharmaceutical composition for treating small cell lung cancer and application thereof,CN,False
85412216,IN-202141039393-A,Lurbinectedin,NOVEL CRYSTALLINE POLYMORPH OF LURBINECTEDIN AND IMPROVED PROCESS FOR THE PREPARATION OF LURBINECTEDIN,BR;CA;IN;US;WO,False
-1,TR-2023002258-T2,Lurbinectedin,LURBİNECTEDİN VE İMMÜN KONTROL NOKTASI İNHİBİTÖRÜ,TR,False
-1,MY-PI2023001058-A0,Lurbinectedin,COMBINATION OF LURBINECTEDIN AND IMMUNE CHECKPOINT INHIBITOR,MY,False
70918456,AU-2020388196-B2,Lurbinectedin,Methods of treating small cell lung cancer with lurbinectedin formulations,AU;BR;CA;CL;CN;CO;CR;EA;EC;EP;HK;ID;IL;IN;JO;JP;KR;MA;MO;MX;MY;PE;PH;SA;TH;TR;TW;UA;US;VN;WO,False
89771967,EP-4563149-A1,Lurbinectedin,"LURBINECTEDIN, ECUBECTEDIN AND A RELATED COMPOUND FOR USE IN THE TREATMENT OF SKIN CANCERS",AU;CA;CN;EP;HK;IL;KR;TW;WO,False
