publication_id,score,compound,capped,total_hits_reported
US-20180098969-A1,22.55108,Brentuximab_vedotin,False,2613
CA-3040155-A1,22.263762,Brentuximab_vedotin,False,2613
WO-2018068832-A1,22.23938,Brentuximab_vedotin,False,2613
AU-2016426574-A1,22.21338,Brentuximab_vedotin,False,2613
US-20220280485-A1,22.155067,Brentuximab_vedotin,False,2613
US-11766424-B2,22.155067,Brentuximab_vedotin,False,2613
EP-3538221-B1,22.01306,Brentuximab_vedotin,False,2613
US-20240082220-A1,21.91951,Brentuximab_vedotin,False,2613
US-12440475-B2,21.91951,Brentuximab_vedotin,False,2613
WO-2019036632-A1,21.690008,Brentuximab_vedotin,False,2613
US-10335494-B2,21.665712,Brentuximab_vedotin,False,2613
IN-202421018988-A,21.610651,Brentuximab_vedotin,False,2613
AU-2016426574-B2,21.530354,Brentuximab_vedotin,False,2613
EP-3464368-B1,21.488838,Brentuximab_vedotin,False,2613
US-20230136346-A1,21.382294,Brentuximab_vedotin,False,2613
US-12303724-B2,21.382294,Brentuximab_vedotin,False,2613
AU-2017274444-B2,21.34748,Brentuximab_vedotin,False,2613
CA-3040155-C,21.167265,Brentuximab_vedotin,False,2613
US-11464869-B2,21.126701,Brentuximab_vedotin,False,2613
MX-2022009389-A,21.09142,Brentuximab_vedotin,False,2613
MX-2022014225-A,21.079172,Brentuximab_vedotin,False,2613
NZ-748650-A,21.02537,Brentuximab_vedotin,False,2613
AU-2018347406-B2,20.93941,Brentuximab_vedotin,False,2613
US-11266631-B2,20.860683,Brentuximab_vedotin,False,2613
US-11299543-B2,20.82837,Brentuximab_vedotin,False,2613
EP-4248989-A2,20.82837,Brentuximab_vedotin,False,2613
EP-3216859-B1,20.713757,Brentuximab_vedotin,False,2613
US-20190192559-A1,20.608524,Brentuximab_vedotin,False,2613
US-20160303249-A1,20.570063,Brentuximab_vedotin,False,2613
WO-2018027022-A1,20.527166,Brentuximab_vedotin,False,2613
EP-3493793-A1,20.527166,Brentuximab_vedotin,False,2613
CA-3032011-A1,20.527166,Brentuximab_vedotin,False,2613
US-20190290776-A1,20.475723,Brentuximab_vedotin,False,2613
WO-2018089890-A1,20.424038,Brentuximab_vedotin,False,2613
EP-3538221-A1,20.424038,Brentuximab_vedotin,False,2613
CA-3042889-A1,20.424038,Brentuximab_vedotin,False,2613
US-9844582-B2,20.382502,Brentuximab_vedotin,False,2613
WO-2015085289-A1,20.245485,Brentuximab_vedotin,False,2613
EP-3076963-A1,20.245485,Brentuximab_vedotin,False,2613
US-20200011876-A1,20.174625,Brentuximab_vedotin,False,2613
WO-2020257745-A1,20.153858,Brentuximab_vedotin,False,2613
EP-3986439-A1,20.153858,Brentuximab_vedotin,False,2613
US-20240245753-A1,20.13862,Brentuximab_vedotin,False,2613
US-20220226439-A1,20.13862,Brentuximab_vedotin,False,2613
HK-40085192-A,20.107845,Brentuximab_vedotin,False,2613
HK-40090524-A,20.104872,Brentuximab_vedotin,False,2613
WO-2025169056-A1,20.098095,Brentuximab_vedotin,False,2613
WO-2021231568-A1,20.089563,Brentuximab_vedotin,False,2613
EP-4149559-A1,20.089563,Brentuximab_vedotin,False,2613
