publication_id,score,compound,capped,total_hits_reported
US-8836218-B2,10.900645,Cytarabine,True,19075
US-20130137650-A1,10.900645,Cytarabine,True,19075
EP-2410987-B1,10.893604,Cytarabine,True,19075
AU-2010228982-B2,10.82067,Cytarabine,True,19075
CA-2564542-C,10.818645,Cytarabine,True,19075
CA-3002067-C,10.784273,Cytarabine,True,19075
WO-2025088367-A1,10.751569,Cytarabine,True,19075
AU-2016340087-C1,10.74692,Cytarabine,True,19075
AU-2016340087-B2,10.74692,Cytarabine,True,19075
CA-2868629-A1,10.743034,Cytarabine,True,19075
WO-2013143000-A1,10.740486,Cytarabine,True,19075
EP-2830633-A1,10.740486,Cytarabine,True,19075
EP-3362065-B1,10.734932,Cytarabine,True,19075
WO-2023228177-A1,10.723093,Cytarabine,True,19075
WO-2019136739-A1,10.722687,Cytarabine,True,19075
EP-3740287-A1,10.722687,Cytarabine,True,19075
WO-2017066599-A1,10.718005,Cytarabine,True,19075
EP-3362057-A1,10.718005,Cytarabine,True,19075
CA-3001599-A1,10.718005,Cytarabine,True,19075
BR-112018007304-A2,10.718005,Cytarabine,True,19075
AU-2016340087-A1,10.718005,Cytarabine,True,19075
EP-0563697-B1,10.71788,Cytarabine,True,19075
WO-2020112966-A1,10.712967,Cytarabine,True,19075
EP-3886833-A1,10.712967,Cytarabine,True,19075
CA-3119045-A1,10.712967,Cytarabine,True,19075
US-20050004081-A1,10.705628,Cytarabine,True,19075
HK-1258899-B,10.698261,Cytarabine,True,19075
HK-1258899-A1,10.698261,Cytarabine,True,19075
AU-2019390418-A1,10.697745,Cytarabine,True,19075
IN-202341073284-A,10.693206,Cytarabine,True,19075
US-20180311249-A1,10.683412,Cytarabine,True,19075
SG-10202111439S-A,10.676088,Cytarabine,True,19075
AU-2016338552-A1,10.676088,Cytarabine,True,19075
IL-178779-A,10.669857,Cytarabine,True,19075
AU-2013237419-B2,10.666357,Cytarabine,True,19075
US-11707474-B2,10.665122,Cytarabine,True,19075
MA-42999-B1,10.662466,Cytarabine,True,19075
US-20210393664-A1,10.661625,Cytarabine,True,19075
WO-2017066566-A1,10.6599245,Cytarabine,True,19075
EP-3362065-A1,10.6599245,Cytarabine,True,19075
CA-3002067-A1,10.6599245,Cytarabine,True,19075
US-20060211648-A1,10.659267,Cytarabine,True,19075
US-20210386749-A1,10.656809,Cytarabine,True,19075
NZ-740792-A,10.656809,Cytarabine,True,19075
US-8809299-B2,10.656349,Cytarabine,True,19075
US-20150038450-A1,10.656349,Cytarabine,True,19075
US-20130261074-A1,10.656349,Cytarabine,True,19075
US-8022279-B2,10.654352,Cytarabine,True,19075
WO-2010048712-A1,10.650591,Cytarabine,True,19075
WO-2017093993-A1,10.647509,Cytarabine,True,19075
EP-3383407-A1,10.647509,Cytarabine,True,19075
CA-3007058-A1,10.647509,Cytarabine,True,19075
US-11419859-B2,10.633666,Cytarabine,True,19075
AU-2016338552-B2,10.633666,Cytarabine,True,19075
AU-2005235455-B2,10.629513,Cytarabine,True,19075
CA-2093258-C,10.624189,Cytarabine,True,19075
WO-2019089594-A1,10.622262,Cytarabine,True,19075
US-20110212176-A1,10.62061,Cytarabine,True,19075
AU-2010201113-A1,10.614153,Cytarabine,True,19075
US-8865718-B2,10.613909,Cytarabine,True,19075
WO-2004041837-A1,10.5977125,Cytarabine,True,19075
HK-1097194-A1,10.592397,Cytarabine,True,19075
IN-202511089746-A,10.588309,Cytarabine,True,19075
EP-3858350-A1,10.5858555,Cytarabine,True,19075
