publication_id,score,compound,capped,total_hits_reported
EP-4041194-B1,13.102287,Trabectedin,False,1890
EP-4041194-A1,13.088128,Trabectedin,False,1890
AU-2021256746-A1,13.077153,Trabectedin,False,1890
WO-2021209545-A1,13.066308,Trabectedin,False,1890
EP-4353232-A2,13.064637,Trabectedin,False,1890
IL-297102-A,13.025356,Trabectedin,False,1890
US-20230146340-A1,13.020023,Trabectedin,False,1890
US-20220315605-A1,12.995444,Trabectedin,False,1890
WO-2020261301-A1,12.949795,Trabectedin,False,1890
IN-201841044298-A,12.88547,Trabectedin,False,1890
WO-2020105068-A1,12.830522,Trabectedin,False,1890
IN-201941025538-A,12.827635,Trabectedin,False,1890
US-12303506-B2,12.814774,Trabectedin,False,1890
IN-202221003332-A,12.799072,Trabectedin,False,1890
US-20230226051-A1,12.74683,Trabectedin,False,1890
EP-4215184-A1,12.74683,Trabectedin,False,1890
US-10610529-B2,12.744028,Trabectedin,False,1890
IN-2010KN03010-A,12.733667,Trabectedin,False,1890
US-20110015135-A1,12.695782,Trabectedin,False,1890
CA-2717117-A1,12.695782,Trabectedin,False,1890
US-20190030028-A1,12.685704,Trabectedin,False,1890
WO-2009109649-A1,12.6817665,Trabectedin,False,1890
EP-2262522-A1,12.6817665,Trabectedin,False,1890
AU-2009221120-A1,12.650671,Trabectedin,False,1890
US-20210169873-A1,12.646424,Trabectedin,False,1890
IN-201921042699-A,12.646424,Trabectedin,False,1890
EP-3412293-A1,12.634739,Trabectedin,False,1890
WO-2020239478-A1,12.610557,Trabectedin,False,1890
EP-4353232-A3,12.593878,Trabectedin,False,1890
EP-2900271-A1,12.577699,Trabectedin,False,1890
CA-3011527-A1,12.574219,Trabectedin,False,1890
AU-2017215603-A1,12.574219,Trabectedin,False,1890
WO-2022115075-A1,12.57184,Trabectedin,False,1890
EP-4247347-A1,12.57184,Trabectedin,False,1890
WO-2014049549-A1,12.560135,Trabectedin,False,1890
CA-2884923-A1,12.560135,Trabectedin,False,1890
US-20210361644-A1,12.531025,Trabectedin,False,1890
IN-201741041173-A,12.401099,Trabectedin,False,1890
IN-202531031692-A,12.359798,Trabectedin,False,1890
ZA-202210779-B,12.35759,Trabectedin,False,1890
CA-3176956-A1,12.32212,Trabectedin,False,1890
HK-40087541-B,12.298518,Trabectedin,False,1890
HK-40087541-A,12.298518,Trabectedin,False,1890
EP-4203959-B1,12.298518,Trabectedin,False,1890
EP-3960177-A1,12.248044,Trabectedin,False,1890
AU-2021334093-A1,12.248044,Trabectedin,False,1890
WO-2022043245-A1,12.231602,Trabectedin,False,1890
EP-4203959-A1,12.231602,Trabectedin,False,1890
CA-3185193-A1,12.231602,Trabectedin,False,1890
IN-202141039392-A,12.225527,Trabectedin,False,1890
RU-2738741-C2,12.222055,Trabectedin,False,1890
IN-500624-B,12.213639,Trabectedin,False,1890
US-20150231134-A1,12.181599,Trabectedin,False,1890
US-20230321205-A1,12.180901,Trabectedin,False,1890
MX-2025010161-A,12.130957,Trabectedin,False,1890
WO-2024174883-A1,12.086922,Trabectedin,False,1890
US-20240294549-A1,12.056927,Trabectedin,False,1890
WO-2023031958-A1,12.039278,Trabectedin,False,1890
WO-2019114704-A1,12.011367,Trabectedin,False,1890
MX-381508-B,11.976598,Trabectedin,False,1890
MX-2018009088-A,11.976598,Trabectedin,False,1890
EP-3725792-A4,11.848785,Trabectedin,False,1890
EP-3725792-C0,11.847763,Trabectedin,False,1890
EP-3725792-A1,11.845591,Trabectedin,False,1890
WO-2018005973-A1,11.83417,Trabectedin,False,1890
EP-3478312-A1,11.83417,Trabectedin,False,1890
IN-397102-B,11.789796,Trabectedin,False,1890
CN-109912629-B,11.759101,Trabectedin,False,1890
AU-2017290803-A1,11.684284,Trabectedin,False,1890
WO-2024155728-A1,11.680986,Trabectedin,False,1890
WO-2024186263-A1,11.628906,Trabectedin,False,1890
HK-1151232-A,11.609704,Trabectedin,False,1890
EP-3412293-A4,11.603067,Trabectedin,False,1890
HK-1244713-A1,11.592203,Trabectedin,False,1890
US-11339179-B2,11.591692,Trabectedin,False,1890
EP-3725792-B1,11.590601,Trabectedin,False,1890
AU-2021304691-A1,11.590374,Trabectedin,False,1890
CA-3027911-A1,11.582134,Trabectedin,False,1890
US-9181277-B2,11.569864,Trabectedin,False,1890
AU-2020244589-A1,11.555326,Trabectedin,False,1890
WO-2022006673-A1,11.510979,Trabectedin,False,1890
EP-4178588-A1,11.510979,Trabectedin,False,1890
CA-3181317-A1,11.510979,Trabectedin,False,1890
US-20220175875-A1,11.500783,Trabectedin,False,1890
IN-462333-B,11.489389,Trabectedin,False,1890
IN-202141023029-A,11.469059,Trabectedin,False,1890
US-11207392-B2,11.423507,Trabectedin,False,1890
US-20170266303-A1,11.4192295,Trabectedin,False,1890
WO-2024186264-A1,11.394414,Trabectedin,False,1890
AU-2023435820-A1,11.394414,Trabectedin,False,1890
MX-2015003800-A,11.382395,Trabectedin,False,1890
EP-4178588-B1,11.322708,Trabectedin,False,1890
US-11382903-B2,11.305662,Trabectedin,False,1890
IN-202017029721-A,11.290878,Trabectedin,False,1890
US-11823773-B2,11.271303,Trabectedin,False,1890
US-20210163500-A1,11.232965,Trabectedin,False,1890
WO-2017133544-A1,11.22655,Trabectedin,False,1890
MX-2023002094-A,11.20485,Trabectedin,False,1890
US-20230263825-A1,11.1971855,Trabectedin,False,1890
US-20090076017-A1,11.11928,Trabectedin,False,1890
CN-109912629-A,11.11928,Trabectedin,False,1890
AU-2023220122-A1,11.101146,Trabectedin,False,1890
IL-299673-A,11.088053,Trabectedin,False,1890
TW-I720117-B,11.072836,Trabectedin,False,1890
US-20240310378-A1,11.061911,Trabectedin,False,1890
KR-20230058113-A,11.026308,Trabectedin,False,1890
US-12391995-B2,11.00836,Trabectedin,False,1890
WO-2023158821-A2,10.994267,Trabectedin,False,1890
EP-4479532-A2,10.994267,Trabectedin,False,1890
CA-3244487-A1,10.994267,Trabectedin,False,1890
US-20210008053-A1,10.989227,Trabectedin,False,1890
WO-2022171831-A1,10.988633,Trabectedin,False,1890
EP-4291901-A1,10.988633,Trabectedin,False,1890
WO-2023034336-A2,10.967752,Trabectedin,False,1890
WO-2021144474-A1,10.928606,Trabectedin,False,1890
EP-4090970-A1,10.928606,Trabectedin,False,1890
AU-2021207312-A1,10.928606,Trabectedin,False,1890
TW-201728327-A,10.924161,Trabectedin,False,1890
EP-2644191-B1,10.91311,Trabectedin,False,1890
US-11920200-B2,10.900105,Trabectedin,False,1890
US-20230279465-A1,10.877378,Trabectedin,False,1890
EP-3409259-A1,10.876708,Trabectedin,False,1890
US-9056133-B2,10.875946,Trabectedin,False,1890
US-8685372-B2,10.8621645,Trabectedin,False,1890
EP-2438191-B1,10.859329,Trabectedin,False,1890
CA-3163050-A1,10.840933,Trabectedin,False,1890
US-20130084263-A1,10.823107,Trabectedin,False,1890
EP-3159331-A1,10.794422,Trabectedin,False,1890
SI-4041194-T1,10.763728,Trabectedin,False,1890
PL-4041194-T3,10.763728,Trabectedin,False,1890
PT-4041194-T,10.7621355,Trabectedin,False,1890
HU-E067354-T2,10.760544,Trabectedin,False,1890
US-20190240348-A1,10.757818,Trabectedin,False,1890
IN-202517050866-A,10.757818,Trabectedin,False,1890
HK-40081673-A,10.757818,Trabectedin,False,1890
US-20230016003-A1,10.754965,Trabectedin,False,1890
US-20220265839-A1,10.74484,Trabectedin,False,1890
RS-59139-B1,10.6762495,Trabectedin,False,1890
WO-2024091952-A1,10.6559,Trabectedin,False,1890
WO-2018013783-A1,10.6559,Trabectedin,False,1890
US-20190262328-A1,10.6559,Trabectedin,False,1890
EP-4608505-A1,10.6559,Trabectedin,False,1890
EP-4082546-A1,10.6559,Trabectedin,False,1890
EP-3484519-A1,10.6559,Trabectedin,False,1890
AU-2023367702-A1,10.6559,Trabectedin,False,1890
US-20180344569-A1,10.6451235,Trabectedin,False,1890
