publication_id,score,compound,capped,total_hits_reported
EP-0731703-B1,12.779028,Vidarabine,False,2067
IL-321421-A,12.495053,Vidarabine,False,2067
AU-2023393490-A1,12.482211,Vidarabine,False,2067
WO-2024127407-A1,12.469401,Vidarabine,False,2067
EP-4633677-A1,12.469401,Vidarabine,False,2067
IN-202517064695-A,12.447284,Vidarabine,False,2067
WO-2022213447-A1,12.329127,Vidarabine,False,2067
WO-2022227117-A1,12.257092,Vidarabine,False,2067
WO-2013051330-A1,12.230786,Vidarabine,False,2067
IL-146055-A,12.144807,Vidarabine,False,2067
US-6365179-B1,12.098359,Vidarabine,False,2067
US-20030054028-A1,12.098359,Vidarabine,False,2067
ZA-200108726-B,12.052336,Vidarabine,False,2067
EP-1173222-A2,12.052336,Vidarabine,False,2067
AU-769425-B2,12.052336,Vidarabine,False,2067
WO-2001097749-A2,11.946677,Vidarabine,False,2067
US-7276248-B2,11.828024,Vidarabine,False,2067
US-20050271715-A1,11.828024,Vidarabine,False,2067
WO-2003092704-A1,11.791,Vidarabine,False,2067
IN-308722-B,11.772508,Vidarabine,False,2067
CA-2969372-C,11.75586,Vidarabine,False,2067
US-9745337-B2,11.739145,Vidarabine,False,2067
US-20110182858-A1,11.6983795,Vidarabine,False,2067
US-20250302961-A1,11.693935,Vidarabine,False,2067
US-20210299143-A1,11.691589,Vidarabine,False,2067
WO-2009069668-A1,11.666159,Vidarabine,False,2067
AU-2005295541-B2,11.657416,Vidarabine,False,2067
EP-2219642-A1,11.655922,Vidarabine,False,2067
CA-2703834-A1,11.655922,Vidarabine,False,2067
AU-2008323156-B2,11.655922,Vidarabine,False,2067
AU-2008323156-A1,11.655922,Vidarabine,False,2067
WO-2009062737-A1,11.613833,Vidarabine,False,2067
EP-1611238-A2,11.569465,Vidarabine,False,2067
WO-2009089295-A2,11.556726,Vidarabine,False,2067
EP-2238165-A2,11.556726,Vidarabine,False,2067
HK-1142270-B,11.551547,Vidarabine,False,2067
HK-1142270-A1,11.551547,Vidarabine,False,2067
EP-2219642-B1,11.551547,Vidarabine,False,2067
CA-2873390-C,11.543661,Vidarabine,False,2067
CA-2703834-C,11.530748,Vidarabine,False,2067
US-10137094-B2,11.505069,Vidarabine,False,2067
WO-2009023356-A2,11.503759,Vidarabine,False,2067
WO-2004076675-A2,11.486681,Vidarabine,False,2067
US-20060121488-A1,11.486681,Vidarabine,False,2067
CA-2516619-A1,11.486681,Vidarabine,False,2067
AU-2004214938-A1,11.486681,Vidarabine,False,2067
US-20140221297-A1,11.443587,Vidarabine,False,2067
US-20130150312-A1,11.443587,Vidarabine,False,2067
US-6576636-B2,11.429848,Vidarabine,False,2067
US-20170360752-A1,11.421638,Vidarabine,False,2067
US-20050238660-A1,11.40878,Vidarabine,False,2067
AU-2002347062-A1,11.40878,Vidarabine,False,2067
WO-2022164850-A1,11.401663,Vidarabine,False,2067
US-20220372549-A1,11.382569,Vidarabine,False,2067
AU-2020371928-A1,11.382569,Vidarabine,False,2067
EP-2428201-A1,11.362936,Vidarabine,False,2067
US-20120058959-A1,11.360016,Vidarabine,False,2067
US-20120149647-A1,11.3564005,Vidarabine,False,2067
WO-2007049265-A2,11.347535,Vidarabine,False,2067
IE-20050723-A1,11.347535,Vidarabine,False,2067
EP-1940414-A2,11.347535,Vidarabine,False,2067
CA-2627463-A1,11.347535,Vidarabine,False,2067
WO-2024128990-A1,11.338753,Vidarabine,False,2067
EP-2851368-B1,11.331072,Vidarabine,False,2067
WO-2003030934-A2,11.329186,Vidarabine,False,2067
EP-1434602-A2,11.329186,Vidarabine,False,2067
CA-2471968-A1,11.329186,Vidarabine,False,2067
WO-2021078813-A1,11.322926,Vidarabine,False,2067
EP-4048813-A1,11.322926,Vidarabine,False,2067
US-20150126726-A1,11.315663,Vidarabine,False,2067
IN-2014DN09234-A,11.315663,Vidarabine,False,2067
EP-2851368-A1,11.315663,Vidarabine,False,2067
CA-2873390-A1,11.315663,Vidarabine,False,2067
JP-WO2009069668-A1,11.298445,Vidarabine,False,2067
IN-295146-B,11.279816,Vidarabine,False,2067
US-20140005147-A1,11.277074,Vidarabine,False,2067
US-20100137341-A1,11.277074,Vidarabine,False,2067
WO-2007112348-A3,11.270953,Vidarabine,False,2067
CA-3154963-A1,11.264034,Vidarabine,False,2067
US-9248115-B2,11.250626,Vidarabine,False,2067
WO-2008134033-A1,11.2370615,Vidarabine,False,2067
EP-2155209-A1,11.2370615,Vidarabine,False,2067
US-20170042898-A1,11.2314,Vidarabine,False,2067
US-20010009922-A1,11.205178,Vidarabine,False,2067
US-20160113929-A1,11.202526,Vidarabine,False,2067
WO-2003065988-A2,11.1864195,Vidarabine,False,2067
EP-1471872-A2,11.1864195,Vidarabine,False,2067
CA-2416512-C,11.175326,Vidarabine,False,2067
US-20110105976-A1,11.167762,Vidarabine,False,2067
AU-2009220147-A1,11.167762,Vidarabine,False,2067
WO-2023220128-A1,11.165579,Vidarabine,False,2067
US-8173840-B2,11.1654,Vidarabine,False,2067
US-9872895-B2,11.145318,Vidarabine,False,2067
US-20220249477-A1,11.128933,Vidarabine,False,2067
US-20040029864-A1,11.12827,Vidarabine,False,2067
CA-2474016-A1,11.12827,Vidarabine,False,2067
IE-20050699-A1,11.113935,Vidarabine,False,2067
WO-2022133323-A1,11.098503,Vidarabine,False,2067
WO-2017106710-A1,11.098503,Vidarabine,False,2067
