publication_id,score,compound,capped,total_hits_reported
US-11814416-B2,14.308435,Ziconotide,False,519
US-20220112250-A1,14.244531,Ziconotide,False,519
EP-2898900-A1,14.2022915,Ziconotide,False,519
US-20140296830-A1,14.201475,Ziconotide,False,519
EP-2898900-B1,14.167518,Ziconotide,False,519
US-9682153-B2,13.822439,Ziconotide,False,519
US-20110171163-A1,13.786524,Ziconotide,False,519
US-20130225499-A1,13.76969,Ziconotide,False,519
US-20160022828-A1,13.757328,Ziconotide,False,519
CA-2930900-C,13.757179,Ziconotide,False,519
CA-2540895-C,13.757179,Ziconotide,False,519
US-8653033-B2,13.747961,Ziconotide,False,519
EP-3854818-A1,13.741162,Ziconotide,False,519
US-9707270-B2,13.735398,Ziconotide,False,519
US-20170312337-A1,13.735398,Ziconotide,False,519
WO-2010033222-A2,13.729347,Ziconotide,False,519
EP-2340046-A2,13.729347,Ziconotide,False,519
WO-2020056985-A1,13.68463,Ziconotide,False,519
US-7977307-B2,13.652923,Ziconotide,False,519
US-20110021436-A1,13.652923,Ziconotide,False,519
US-7956030-B2,13.575871,Ziconotide,False,519
US-20110021437-A1,13.575871,Ziconotide,False,519
US-20190255148-A1,13.544388,Ziconotide,False,519
US-10857204-B2,13.544388,Ziconotide,False,519
US-10307463-B2,13.544388,Ziconotide,False,519
US-20150374787-A1,13.512596,Ziconotide,False,519
US-20140371153-A1,13.512596,Ziconotide,False,519
US-20070270353-A1,13.468093,Ziconotide,False,519
US-7524812-B2,13.449533,Ziconotide,False,519
CA-2930900-A1,13.449533,Ziconotide,False,519
CA-2540895-A1,13.449533,Ziconotide,False,519
US-8268774-B2,13.432251,Ziconotide,False,519
WO-2005032556-A1,13.407875,Ziconotide,False,519
US-8765680-B2,13.407875,Ziconotide,False,519
US-20140107038-A1,13.407875,Ziconotide,False,519
EP-1689401-A1,13.407875,Ziconotide,False,519
WO-2004093813-A2,13.366868,Ziconotide,False,519
US-7833973-B2,13.361236,Ziconotide,False,519
US-20070269528-A1,13.354199,Ziconotide,False,519
US-7268109-B2,13.279067,Ziconotide,False,519
US-20050192218-A1,13.272555,Ziconotide,False,519
WO-2004093816-A2,13.217782,Ziconotide,False,519
US-20120003290-A1,13.214518,Ziconotide,False,519
WO-2020056986-A1,13.197555,Ziconotide,False,519
LU-91181-I2,13.043258,Ziconotide,False,519
US-20090247452-A1,13.030693,Ziconotide,False,519
AU-2001278045-A1,12.889667,Ziconotide,False,519
US-20030220310-A1,12.800769,Ziconotide,False,519
US-20030055027-A1,12.800769,Ziconotide,False,519
US-20020042405-A1,12.800769,Ziconotide,False,519
EP-1303305-A2,12.800769,Ziconotide,False,519
US-8513198-B2,12.761925,Ziconotide,False,519
US-20130096066-A1,12.761925,Ziconotide,False,519
WO-2002009761-A9,12.713311,Ziconotide,False,519
WO-2002009761-A2,12.713311,Ziconotide,False,519
US-20030220312-A1,12.713311,Ziconotide,False,519
CA-2415826-A1,12.713311,Ziconotide,False,519
US-7459430-B2,12.704227,Ziconotide,False,519
US-20060234939-A1,12.670787,Ziconotide,False,519
WO-2025128821-A1,12.513674,Ziconotide,False,519
US-20130149318-A1,12.509216,Ziconotide,False,519
US-20070292387-A1,12.424049,Ziconotide,False,519
WO-2013090576-A1,12.421949,Ziconotide,False,519
EP-3472155-B1,12.416669,Ziconotide,False,519
US-7125848-B2,12.377681,Ziconotide,False,519
