publication_id,score,compound,capped,total_hits_reported
WO-2024165764-A1,17.56817,Plitidepsin,False,168
CN-120478341-B,15.432757,Plitidepsin,False,168
CN-120478341-A,15.432757,Plitidepsin,False,168
US-20230107186-A1,14.460596,Plitidepsin,False,168
US-20240122893-A1,14.3394985,Plitidepsin,False,168
WO-2022186926-A2,14.258514,Plitidepsin,False,168
EP-4003359-B1,14.090035,Plitidepsin,False,168
WO-2021209563-A1,13.715848,Plitidepsin,False,168
US-20240269125-A1,13.464026,Plitidepsin,False,168
US-20250221947-A1,13.066189,Plitidepsin,False,168
WO-2022035911-A4,12.984227,Plitidepsin,False,168
WO-2022035911-A2,12.984227,Plitidepsin,False,168
CA-3188794-A1,12.984227,Plitidepsin,False,168
WO-2021254667-A1,12.931702,Plitidepsin,False,168
EP-4003359-A1,12.931702,Plitidepsin,False,168
WO-2017120601-A1,12.906848,Plitidepsin,False,168
EP-3400014-A1,12.906848,Plitidepsin,False,168
CA-3010862-A1,12.906848,Plitidepsin,False,168
WO-2022040045-A1,12.823069,Plitidepsin,False,168
CA-3169540-A1,12.736853,Plitidepsin,False,168
AU-2017206114-A1,12.62623,Plitidepsin,False,168
AU-2021232535-A1,12.465166,Plitidepsin,False,168
CA-3169791-A1,12.411653,Plitidepsin,False,168
WO-2021175831-A2,12.360032,Plitidepsin,False,168
US-20230159594-A1,12.360032,Plitidepsin,False,168
IL-296069-A,12.360032,Plitidepsin,False,168
EP-4114433-A2,12.360032,Plitidepsin,False,168
WO-2021175826-A1,12.25699,Plitidepsin,False,168
US-20230158102-A1,12.25699,Plitidepsin,False,168
EP-4114436-A1,12.25699,Plitidepsin,False,168
AU-2021232534-A1,12.25699,Plitidepsin,False,168
IL-296066-A,12.155978,Plitidepsin,False,168
US-20230218644-A1,12.0986,Plitidepsin,False,168
US-20180042765-A1,12.026404,Plitidepsin,False,168
US-20220249467-A1,11.914206,Plitidepsin,False,168
EP-4122466-A1,11.674677,Plitidepsin,False,168
WO-2023002007-A1,11.575481,Plitidepsin,False,168
CA-3169544-A1,11.544403,Plitidepsin,False,168
WO-2017120600-A1,11.258836,Plitidepsin,False,168
US-20230119141-A1,11.237255,Plitidepsin,False,168
CN-103861107-A,11.173831,Plitidepsin,False,168
WO-2021175857-A1,11.163319,Plitidepsin,False,168
US-20230295236-A1,11.163319,Plitidepsin,False,168
IL-296068-A,11.163319,Plitidepsin,False,168
EP-4114435-A1,11.163319,Plitidepsin,False,168
AU-2021231197-A1,11.163319,Plitidepsin,False,168
IN-201637044187-A,10.951905,Plitidepsin,False,168
US-20220160741-A1,10.749262,Plitidepsin,False,168
WO-2023069981-A1,10.586275,Plitidepsin,False,168
WO-2022028917-A2,10.532651,Plitidepsin,False,168
US-12350261-B2,10.412649,Plitidepsin,False,168
EP-4189397-A2,10.377023,Plitidepsin,False,168
CN-103816535-A,10.272459,Plitidepsin,False,168
EP-2992953-B1,10.197872,Plitidepsin,False,168
US-20230158088-A1,10.190849,Plitidepsin,False,168
US-20220387546-A1,10.034084,Plitidepsin,False,168
