publication_id,score,compound,capped,total_hits_reported
US-8652518-B2,19.895117,Omega3_acid_ethyl_esters,False,81
US-20130273175-A1,19.834345,Omega3_acid_ethyl_esters,False,81
NZ-587019-A,16.450363,Omega3_acid_ethyl_esters,False,81
EP-2455071-A1,16.450363,Omega3_acid_ethyl_esters,False,81
EP-2455070-A1,16.450363,Omega3_acid_ethyl_esters,False,81
WO-2023187789-A1,16.346523,Omega3_acid_ethyl_esters,False,81
EP-4499112-A1,16.346523,Omega3_acid_ethyl_esters,False,81
US-20100285121-A1,16.21567,Omega3_acid_ethyl_esters,False,81
HK-1170954-A,16.21567,Omega3_acid_ethyl_esters,False,81
HK-1170953-A,16.21567,Omega3_acid_ethyl_esters,False,81
TN-2010000315-A1,16.139124,Omega3_acid_ethyl_esters,False,81
EP-2229939-A1,16.139124,Omega3_acid_ethyl_esters,False,81
CA-2711814-A1,16.139124,Omega3_acid_ethyl_esters,False,81
IN-2010KN02649-A,16.063398,Omega3_acid_ethyl_esters,False,81
HK-1148454-A,15.914352,Omega3_acid_ethyl_esters,False,81
US-12254985-B2,15.768434,Omega3_acid_ethyl_esters,False,81
KR-102561482-B1,15.76202,Omega3_acid_ethyl_esters,False,81
EP-2074992-A1,15.75758,Omega3_acid_ethyl_esters,False,81
US-20120171150-A1,15.749985,Omega3_acid_ethyl_esters,False,81
JP-WO2009087938-A1,15.625544,Omega3_acid_ethyl_esters,False,81
WO-2013134482-A1,15.599072,Omega3_acid_ethyl_esters,False,81
EP-2822403-A1,15.599072,Omega3_acid_ethyl_esters,False,81
CA-2866606-A1,15.599072,Omega3_acid_ethyl_esters,False,81
AU-2013230896-A1,15.599072,Omega3_acid_ethyl_esters,False,81
CA-2604078-C,15.481096,Omega3_acid_ethyl_esters,False,81
EP-2172225-B1,15.468194,Omega3_acid_ethyl_esters,False,81
KR-20100111292-A,15.348478,Omega3_acid_ethyl_esters,False,81
KR-20220132802-A,15.341542,Omega3_acid_ethyl_esters,False,81
AU-2017203953-B2,15.296311,Omega3_acid_ethyl_esters,False,81
WO-2009087938-A1,15.21413,Omega3_acid_ethyl_esters,False,81
JP-5421126-B2,14.953384,Omega3_acid_ethyl_esters,False,81
US-20250082766-A1,14.931349,Omega3_acid_ethyl_esters,False,81
US-20120171262-A1,14.714529,Omega3_acid_ethyl_esters,False,81
US-20100310607-A1,14.714529,Omega3_acid_ethyl_esters,False,81
MY-157882-A,14.693472,Omega3_acid_ethyl_esters,False,81
AU-2008272135-B2,14.693472,Omega3_acid_ethyl_esters,False,81
US-20130078284-A1,14.47802,Omega3_acid_ethyl_esters,False,81
HK-1131918-A1,14.47802,Omega3_acid_ethyl_esters,False,81
EP-2074992-B1,14.47802,Omega3_acid_ethyl_esters,False,81
US-12281070-B2,14.453242,Omega3_acid_ethyl_esters,False,81
US-10639308-B2,14.450607,Omega3_acid_ethyl_esters,False,81
HK-1131918-B,14.250149,Omega3_acid_ethyl_esters,False,81
US-20230121754-A1,13.998265,Omega3_acid_ethyl_esters,False,81
IN-202031050892-A,13.998265,Omega3_acid_ethyl_esters,False,81
US-20100119598-A1,13.991731,Omega3_acid_ethyl_esters,False,81
IN-2009DN08341-A,13.991731,Omega3_acid_ethyl_esters,False,81
EP-2172225-A1,13.991731,Omega3_acid_ethyl_esters,False,81
AU-2008272135-A1,13.991731,Omega3_acid_ethyl_esters,False,81
US-20070264334-A1,13.818495,Omega3_acid_ethyl_esters,False,81
US-20070128278-A1,13.818495,Omega3_acid_ethyl_esters,False,81
WO-2022106908-A1,13.783019,Omega3_acid_ethyl_esters,False,81
HK-1142829-A,13.774748,Omega3_acid_ethyl_esters,False,81
WO-2025080939-A1,13.571795,Omega3_acid_ethyl_esters,False,81
JP-5047285-B2,13.565476,Omega3_acid_ethyl_esters,False,81
WO-2013150386-A2,13.428319,Omega3_acid_ethyl_esters,False,81
EP-2833740-A2,13.428319,Omega3_acid_ethyl_esters,False,81
CA-3116518-A1,13.374894,Omega3_acid_ethyl_esters,False,81
US-20080286343-A1,13.359183,Omega3_acid_ethyl_esters,False,81
WO-2008140460-A1,13.187365,Omega3_acid_ethyl_esters,False,81
US-20080286344-A1,13.15878,Omega3_acid_ethyl_esters,False,81
US-20080014228-A1,12.8131,Omega3_acid_ethyl_esters,False,81
