publication_id,score,compound,capped,total_hits_reported
WO-2022241446-A1,23.80479,Polatuzumab_vedotin,False,723
US-20240115718-A1,23.80479,Polatuzumab_vedotin,False,723
EP-4337266-A1,23.80479,Polatuzumab_vedotin,False,723
AU-2022273063-A9,23.80479,Polatuzumab_vedotin,False,723
AU-2022273063-A1,23.80479,Polatuzumab_vedotin,False,723
CA-3138045-C,23.74022,Polatuzumab_vedotin,False,723
CA-3218170-A1,23.737307,Polatuzumab_vedotin,False,723
WO-2023019092-A1,23.436794,Polatuzumab_vedotin,False,723
US-20240336697-A1,23.436794,Polatuzumab_vedotin,False,723
EP-4380978-A1,23.436794,Polatuzumab_vedotin,False,723
WO-2023274974-A1,23.271692,Polatuzumab_vedotin,False,723
EP-4362983-A1,23.271692,Polatuzumab_vedotin,False,723
CA-3220935-A1,23.271692,Polatuzumab_vedotin,False,723
AU-2022302769-A1,23.271692,Polatuzumab_vedotin,False,723
US-20250352658-A1,23.045897,Polatuzumab_vedotin,False,723
WO-2020232169-A1,22.96958,Polatuzumab_vedotin,False,723
US-20220125942-A1,22.96958,Polatuzumab_vedotin,False,723
EP-3968993-A1,22.96958,Polatuzumab_vedotin,False,723
AU-2020275415-A2,22.96958,Polatuzumab_vedotin,False,723
AU-2020275415-A1,22.96958,Polatuzumab_vedotin,False,723
CA-3138045-A1,22.926912,Polatuzumab_vedotin,False,723
CA-3069221-A1,22.917995,Polatuzumab_vedotin,False,723
CA-3069221-C,22.878416,Polatuzumab_vedotin,False,723
US-20230099756-A1,22.777342,Polatuzumab_vedotin,False,723
CA-2979671-C,22.715357,Polatuzumab_vedotin,False,723
US-12291575-B2,22.673927,Polatuzumab_vedotin,False,723
WO-2022241235-A1,22.604986,Polatuzumab_vedotin,False,723
EP-4337330-A1,22.604986,Polatuzumab_vedotin,False,723
IN-202417005627-A,22.598244,Polatuzumab_vedotin,False,723
HK-40032827-A,22.596165,Polatuzumab_vedotin,False,723
US-20230303693-A1,22.59294,Polatuzumab_vedotin,False,723
HK-1248252-B,22.589209,Polatuzumab_vedotin,False,723
HK-1248252-A1,22.589209,Polatuzumab_vedotin,False,723
EP-3262071-B1,22.589209,Polatuzumab_vedotin,False,723
US-20250250353-A1,22.584013,Polatuzumab_vedotin,False,723
CA-3218578-A1,22.584013,Polatuzumab_vedotin,False,723
AU-2022273541-A9,22.584013,Polatuzumab_vedotin,False,723
AU-2022273541-A1,22.584013,Polatuzumab_vedotin,False,723
US-20220411528-A1,22.563593,Polatuzumab_vedotin,False,723
EP-3689910-A2,22.55226,Polatuzumab_vedotin,False,723
WO-2021217051-A9,22.551619,Polatuzumab_vedotin,False,723
WO-2021217051-A1,22.551619,Polatuzumab_vedotin,False,723
EP-4139359-A1,22.551619,Polatuzumab_vedotin,False,723
AU-2021259861-A1,22.551619,Polatuzumab_vedotin,False,723
IL-297541-A,22.542107,Polatuzumab_vedotin,False,723
US-20250206835-A1,22.508747,Polatuzumab_vedotin,False,723
WO-2023144306-A1,22.462711,Polatuzumab_vedotin,False,723
US-20250101102-A1,22.462711,Polatuzumab_vedotin,False,723
EP-4469083-A1,22.462711,Polatuzumab_vedotin,False,723
AU-2023213099-A1,22.462711,Polatuzumab_vedotin,False,723
US-12195547-B2,22.46197,Polatuzumab_vedotin,False,723
WO-2022228705-A1,22.44781,Polatuzumab_vedotin,False,723
EP-4330282-A1,22.44781,Polatuzumab_vedotin,False,723
CA-3213632-A1,22.44781,Polatuzumab_vedotin,False,723
AU-2021443318-A1,22.44781,Polatuzumab_vedotin,False,723
US-20230270875-A1,22.346716,Polatuzumab_vedotin,False,723
CA-3175530-A1,22.29814,Polatuzumab_vedotin,False,723
RS-60349-B1,22.240496,Polatuzumab_vedotin,False,723
ES-2796903-T3,22.17461,Polatuzumab_vedotin,False,723
US-20250282865-A1,22.152859,Polatuzumab_vedotin,False,723
EP-4523702-A1,22.152859,Polatuzumab_vedotin,False,723
US-11000510-B2,22.119541,Polatuzumab_vedotin,False,723
HR-P20200924-T1,22.118145,Polatuzumab_vedotin,False,723
HK-40117039-A,22.072502,Polatuzumab_vedotin,False,723
US-12016842-B2,22.044119,Polatuzumab_vedotin,False,723
WO-2022098648-A2,22.014996,Polatuzumab_vedotin,False,723
EP-4240493-A2,22.014996,Polatuzumab_vedotin,False,723
AU-2021374594-A9,22.014996,Polatuzumab_vedotin,False,723
AU-2021374594-A1,22.014996,Polatuzumab_vedotin,False,723
US-20250064829-A1,21.852278,Polatuzumab_vedotin,False,723
US-20220380480-A1,21.818836,Polatuzumab_vedotin,False,723
