publication_id,score,compound,capped,total_hits_reported
WO-2019241563-A1,15.140992,Omega3_carboxylic_acid,False,13
WO-2020198063-A1,14.532362,Omega3_carboxylic_acid,False,13
US-20190385718-A1,14.336323,Omega3_carboxylic_acid,False,13
HK-40006091-A,9.556342,Omega3_carboxylic_acid,False,13
HK-40021469-A,7.6499233,Omega3_carboxylic_acid,False,13
EP-3597271-A1,7.6499233,Omega3_carboxylic_acid,False,13
WO-2016112305-A1,7.4008694,Omega3_carboxylic_acid,False,13
US-20190381045-A1,7.4008694,Omega3_carboxylic_acid,False,13
US-20180021341-A1,7.4008694,Omega3_carboxylic_acid,False,13
EP-3242722-A1,7.4008694,Omega3_carboxylic_acid,False,13
CA-2972919-A1,7.4008694,Omega3_carboxylic_acid,False,13
AU-2016205138-A1,7.4008694,Omega3_carboxylic_acid,False,13
HK-1243369-A1,5.167118,Omega3_carboxylic_acid,False,13
