publication_id,score,compound,capped,total_hits_reported
US-12065494-B2,23.155802,Enfortumab_vedotin,False,501
US-20220324986-A1,23.024708,Enfortumab_vedotin,False,501
WO-2023235754-A1,23.002508,Enfortumab_vedotin,False,501
EP-4532548-A1,23.002508,Enfortumab_vedotin,False,501
WO-2022221170-A1,22.959768,Enfortumab_vedotin,False,501
EP-4323405-A1,22.959768,Enfortumab_vedotin,False,501
CA-3215903-A1,22.959768,Enfortumab_vedotin,False,501
CA-3253030-A1,22.935314,Enfortumab_vedotin,False,501
AU-2023281712-A1,22.703972,Enfortumab_vedotin,False,501
US-12419964-B2,22.675419,Enfortumab_vedotin,False,501
US-20240010701-A1,22.606539,Enfortumab_vedotin,False,501
WO-2024129552-A2,22.48067,Enfortumab_vedotin,False,501
US-20250127916-A1,22.300188,Enfortumab_vedotin,False,501
EP-4534102-A1,22.015257,Enfortumab_vedotin,False,501
WO-2025073812-A1,21.789804,Enfortumab_vedotin,False,501
EP-4534101-A1,21.789804,Enfortumab_vedotin,False,501
WO-2024129554-A2,21.653864,Enfortumab_vedotin,False,501
WO-2025170959-A1,21.185402,Enfortumab_vedotin,False,501
MX-2024014744-A,21.079163,Enfortumab_vedotin,False,501
TW-202304459-A,20.993902,Enfortumab_vedotin,False,501
WO-2025165975-A1,20.650911,Enfortumab_vedotin,False,501
WO-2024263630-A1,20.570736,Enfortumab_vedotin,False,501
IN-202517118744-A,20.570736,Enfortumab_vedotin,False,501
AU-2024313392-A1,20.570736,Enfortumab_vedotin,False,501
WO-2017021631-A1,20.566914,Enfortumab_vedotin,False,501
EP-3331907-A1,20.566914,Enfortumab_vedotin,False,501
WO-2020190834-A1,20.54907,Enfortumab_vedotin,False,501
EP-3941480-A1,20.54907,Enfortumab_vedotin,False,501
WO-2024187122-A2,20.493668,Enfortumab_vedotin,False,501
WO-2025019334-A2,20.341364,Enfortumab_vedotin,False,501
WO-2024233781-A1,20.137335,Enfortumab_vedotin,False,501
WO-2024263974-A2,19.669825,Enfortumab_vedotin,False,501
US-20220287986-A1,19.637854,Enfortumab_vedotin,False,501
FR-3039832-A1,19.601374,Enfortumab_vedotin,False,501
WO-2023034336-A2,19.59678,Enfortumab_vedotin,False,501
WO-2023220336-A1,19.572706,Enfortumab_vedotin,False,501
NO-2022039-I1,19.368153,Enfortumab_vedotin,False,501
