publication_id,score,compound,capped,total_hits_reported
IN-202021051262-A,20.253128,Eribulin_mesylate,False,776
IN-201841044877-A,19.829922,Eribulin_mesylate,False,776
US-20210177802-A1,19.82463,Eribulin_mesylate,False,776
WO-2020110146-A1,19.766825,Eribulin_mesylate,False,776
US-20210023047-A1,19.721321,Eribulin_mesylate,False,776
US-11083705-B2,19.721321,Eribulin_mesylate,False,776
IN-201921023560-A,19.61472,Eribulin_mesylate,False,776
US-20220089607-A1,19.60764,Eribulin_mesylate,False,776
IN-201617037741-A,19.492027,Eribulin_mesylate,False,776
CA-2945367-A1,19.492027,Eribulin_mesylate,False,776
AU-2015247806-A1,19.492027,Eribulin_mesylate,False,776
WO-2015160833-A1,19.411404,Eribulin_mesylate,False,776
EP-3131587-A1,19.411404,Eribulin_mesylate,False,776
US-20220117933-A1,19.374544,Eribulin_mesylate,False,776
WO-2017159877-A1,19.369675,Eribulin_mesylate,False,776
AU-2020323402-A1,19.30268,Eribulin_mesylate,False,776
US-20180009825-A1,19.299765,Eribulin_mesylate,False,776
IN-202147059959-A,19.278856,Eribulin_mesylate,False,776
EP-3970745-A1,19.278856,Eribulin_mesylate,False,776
US-12036204-B2,19.255098,Eribulin_mesylate,False,776
HK-40066276-A,19.255098,Eribulin_mesylate,False,776
CA-3143486-A1,19.255098,Eribulin_mesylate,False,776
NZ-783713-B2,19.207779,Eribulin_mesylate,False,776
NZ-783713-A,19.207779,Eribulin_mesylate,False,776
IN-349478-B,19.198757,Eribulin_mesylate,False,776
US-20190263927-A1,19.1505,Eribulin_mesylate,False,776
IN-201917018181-A,19.1505,Eribulin_mesylate,False,776
IN-201724023707-A,19.091608,Eribulin_mesylate,False,776
WO-2018016563-A1,19.060995,Eribulin_mesylate,False,776
EP-3487492-A1,19.060995,Eribulin_mesylate,False,776
WO-2018071792-A1,19.057268,Eribulin_mesylate,False,776
US-10221189-B2,19.057268,Eribulin_mesylate,False,776
IL-267936-A,19.057268,Eribulin_mesylate,False,776
EP-3525818-A1,19.057268,Eribulin_mesylate,False,776
CA-3040465-A1,19.057268,Eribulin_mesylate,False,776
AU-2017342462-A1,19.057268,Eribulin_mesylate,False,776
US-20180071247-A1,19.026455,Eribulin_mesylate,False,776
BR-112017018872-A2,19.026455,Eribulin_mesylate,False,776
US-20190111022-A1,19.017857,Eribulin_mesylate,False,776
IN-201747034283-A,18.979609,Eribulin_mesylate,False,776
AU-2016226157-A1,18.979609,Eribulin_mesylate,False,776
EP-3449921-A1,18.979372,Eribulin_mesylate,False,776
WO-2016141209-A1,18.93302,Eribulin_mesylate,False,776
EP-3265122-A1,18.93302,Eribulin_mesylate,False,776
CA-2978311-A1,18.93302,Eribulin_mesylate,False,776
US-20220402933-A1,18.902384,Eribulin_mesylate,False,776
US-11697655-B2,18.902384,Eribulin_mesylate,False,776
IL-275240-A,18.866962,Eribulin_mesylate,False,776
US-20210040107-A1,18.866825,Eribulin_mesylate,False,776
US-20200129473-A1,18.844765,Eribulin_mesylate,False,776
US-10611773-B2,18.83708,Eribulin_mesylate,False,776
US-9783549-B2,18.814737,Eribulin_mesylate,False,776
CA-2915005-C,18.814737,Eribulin_mesylate,False,776
RU-2842665-C2,18.81034,Eribulin_mesylate,False,776
US-20170100368-A1,18.805565,Eribulin_mesylate,False,776
WO-2015066729-A1,18.799736,Eribulin_mesylate,False,776
EP-3066102-A1,18.799736,Eribulin_mesylate,False,776
US-20170035894-A1,18.789698,Eribulin_mesylate,False,776
WO-2019017497-A1,18.767641,Eribulin_mesylate,False,776
EP-3654967-A1,18.767641,Eribulin_mesylate,False,776
US-10238630-B2,18.759901,Eribulin_mesylate,False,776
IN-201948039528-A,18.742962,Eribulin_mesylate,False,776
HK-40063828-A,18.703892,Eribulin_mesylate,False,776
WO-2019055493-A1,18.648336,Eribulin_mesylate,False,776
WO-2015184145-A1,18.626808,Eribulin_mesylate,False,776
EP-3148336-A1,18.626808,Eribulin_mesylate,False,776
WO-2022257271-A1,18.568775,Eribulin_mesylate,False,776
IN-324902-B,18.519653,Eribulin_mesylate,False,776
IN-201647018612-A,18.489382,Eribulin_mesylate,False,776
CA-2929084-C,18.469078,Eribulin_mesylate,False,776
WO-2016187122-A1,18.457798,Eribulin_mesylate,False,776
US-11419856-B2,18.34108,Eribulin_mesylate,False,776
IN-201821028383-A,18.302223,Eribulin_mesylate,False,776
US-20190282541-A1,18.172438,Eribulin_mesylate,False,776
WO-2020097625-A1,18.168663,Eribulin_mesylate,False,776
EP-3877422-A1,18.168663,Eribulin_mesylate,False,776
US-20170071903-A1,18.159496,Eribulin_mesylate,False,776
AU-2016226157-B2,18.118254,Eribulin_mesylate,False,776
US-20190308000-A1,18.110664,Eribulin_mesylate,False,776
AU-2015225436-A1,18.09044,Eribulin_mesylate,False,776
US-20180147224-A1,18.070553,Eribulin_mesylate,False,776
US-20190046513-A1,18.049223,Eribulin_mesylate,False,776
WO-2012147900-A1,18.03392,Eribulin_mesylate,False,776
IN-316379-B,18.03392,Eribulin_mesylate,False,776
IN-2013CN08197-A,18.03392,Eribulin_mesylate,False,776
WO-2019195389-A1,18.008257,Eribulin_mesylate,False,776
WO-2015184145-A8,18.006134,Eribulin_mesylate,False,776
WO-2015134399-A1,17.954088,Eribulin_mesylate,False,776
EP-3689881-A1,17.954088,Eribulin_mesylate,False,776
EP-3113775-A1,17.954088,Eribulin_mesylate,False,776
CA-2940983-A1,17.954088,Eribulin_mesylate,False,776
EP-3265122-B1,17.846031,Eribulin_mesylate,False,776
AU-2014200717-B2,17.826717,Eribulin_mesylate,False,776
AU-2014200717-A1,17.826717,Eribulin_mesylate,False,776
US-10865212-B2,17.825037,Eribulin_mesylate,False,776
WO-2014208774-A1,17.820026,Eribulin_mesylate,False,776
EP-3013335-A1,17.820026,Eribulin_mesylate,False,776
CA-2915005-A1,17.820026,Eribulin_mesylate,False,776
AU-2014299699-A1,17.820026,Eribulin_mesylate,False,776
US-20140339088-A1,17.816418,Eribulin_mesylate,False,776
