publication_id,score,compound,capped,total_hits_reported
US-20250255804-A1,15.356183,Lurbinectedin,False,270
IN-202341012003-A,15.33743,Lurbinectedin,False,270
IN-202421011127-A,15.30497,Lurbinectedin,False,270
IN-202341053567-A,15.20916,Lurbinectedin,False,270
WO-2022192543-A1,15.114617,Lurbinectedin,False,270
EP-4304652-A1,15.114617,Lurbinectedin,False,270
US-20240207261-A1,15.085566,Lurbinectedin,False,270
IN-202343025835-A,15.050508,Lurbinectedin,False,270
US-20240058334-A1,15.011952,Lurbinectedin,False,270
WO-2022192549-A1,14.977872,Lurbinectedin,False,270
EP-4304653-A1,14.977872,Lurbinectedin,False,270
WO-2025094002-A1,14.7725725,Lurbinectedin,False,270
WO-2024133947-A1,14.708737,Lurbinectedin,False,270
AU-2023382514-A1,14.655252,Lurbinectedin,False,270
EP-4618993-A1,14.6545515,Lurbinectedin,False,270
WO-2024105049-A1,14.650769,Lurbinectedin,False,270
WO-2025165852-A1,14.542662,Lurbinectedin,False,270
US-20230310426-A1,14.541418,Lurbinectedin,False,270
AU-2020466790-B2,14.541418,Lurbinectedin,False,270
AU-2020466790-A1,14.541418,Lurbinectedin,False,270
WO-2022101255-A1,14.538564,Lurbinectedin,False,270
WO-2022049270-A1,14.532887,Lurbinectedin,False,270
WO-2022048775-A1,14.532887,Lurbinectedin,False,270
MX-2025010161-A,14.525205,Lurbinectedin,False,270
CA-3191207-A1,14.524369,Lurbinectedin,False,270
AU-2025204567-B2,14.521389,Lurbinectedin,False,270
EP-4025217-A1,14.483472,Lurbinectedin,False,270
WO-2021043949-A1,14.479733,Lurbinectedin,False,270
CA-3148690-A1,14.479733,Lurbinectedin,False,270
AU-2020342483-A1,14.479733,Lurbinectedin,False,270
AU-2025204567-A1,14.472747,Lurbinectedin,False,270
WO-2025059336-A1,14.43222,Lurbinectedin,False,270
US-20250041313-A1,14.350149,Lurbinectedin,False,270
US-20230241041-A1,14.344319,Lurbinectedin,False,270
US-20250295656-A1,14.334703,Lurbinectedin,False,270
EP-4430075-A1,14.174237,Lurbinectedin,False,270
WO-2023079177-A1,14.16884,Lurbinectedin,False,270
US-20240415834-A1,14.16884,Lurbinectedin,False,270
AU-2022381992-A1,14.16884,Lurbinectedin,False,270
WO-2024188978-A1,14.164998,Lurbinectedin,False,270
CA-3237009-A1,14.163277,Lurbinectedin,False,270
EP-4520760-A1,14.135455,Lurbinectedin,False,270
IN-202241053250-A,14.116819,Lurbinectedin,False,270
IN-202343024250-A,14.105402,Lurbinectedin,False,270
CN-111298122-A,14.0111885,Lurbinectedin,False,270
CN-111298122-B,13.942982,Lurbinectedin,False,270
TR-2023002258-T2,13.927528,Lurbinectedin,False,270
IN-202141039393-A,13.917617,Lurbinectedin,False,270
WO-2024186263-A1,13.904506,Lurbinectedin,False,270
US-20240352039-A1,13.818466,Lurbinectedin,False,270
WO-2023031960-A1,13.813054,Lurbinectedin,False,270
CA-3229559-A1,13.813054,Lurbinectedin,False,270
MY-PI2023001058-A0,13.776591,Lurbinectedin,False,270
EP-4563149-A1,13.704039,Lurbinectedin,False,270
AU-2020388196-B2,13.6975155,Lurbinectedin,False,270
AU-2025203941-A1,13.685605,Lurbinectedin,False,270
AU-2020388196-A1,13.680336,Lurbinectedin,False,270
TR-2022008255-T2,13.680019,Lurbinectedin,False,270
CA-3158733-A1,13.678909,Lurbinectedin,False,270
WO-2021098992-A1,13.672716,Lurbinectedin,False,270
EP-4061372-A1,13.672716,Lurbinectedin,False,270
WO-2021099635-A1,13.669665,Lurbinectedin,False,270
US-20230027502-A1,13.665107,Lurbinectedin,False,270
IL-293128-A,13.663144,Lurbinectedin,False,270
US-20230014782-A1,13.661891,Lurbinectedin,False,270
WO-2021228414-A1,13.660239,Lurbinectedin,False,270
IL-322021-A,13.656794,Lurbinectedin,False,270
US-20240041872-A1,13.6548395,Lurbinectedin,False,270
WO-2024186264-A1,13.614595,Lurbinectedin,False,270
AU-2023435820-A1,13.614595,Lurbinectedin,False,270
US-20230390285-A1,13.6051235,Lurbinectedin,False,270
US-12440490-B2,13.603275,Lurbinectedin,False,270
US-12433890-B2,13.603275,Lurbinectedin,False,270
US-12324806-B2,13.603275,Lurbinectedin,False,270
US-20250002506-A1,13.595112,Lurbinectedin,False,270
IN-202447074934-A,13.5941105,Lurbinectedin,False,270
WO-2023084329-A1,13.58803,Lurbinectedin,False,270
AU-2022388852-A1,13.58803,Lurbinectedin,False,270
EP-4433058-A1,13.576533,Lurbinectedin,False,270
US-20240041873-A1,13.576448,Lurbinectedin,False,270
US-20240041874-A1,13.574207,Lurbinectedin,False,270
US-20230390286-A1,13.574207,Lurbinectedin,False,270
US-20230416276-A1,13.527196,Lurbinectedin,False,270
AU-2023389828-A1,13.518887,Lurbinectedin,False,270
AU-2025203950-A1,13.509574,Lurbinectedin,False,270
WO-2023088394-A3,13.493963,Lurbinectedin,False,270
WO-2024121864-A1,13.490531,Lurbinectedin,False,270
EP-4629998-A1,13.490531,Lurbinectedin,False,270
WO-2025113841-A1,13.470567,Lurbinectedin,False,270
IN-202341052714-A,13.405672,Lurbinectedin,False,270
VN-117204-A1,13.402513,Lurbinectedin,False,270
VN-90840-A1,13.3980875,Lurbinectedin,False,270
AU-2025203954-A1,13.397246,Lurbinectedin,False,270
IN-202141052219-A,13.355055,Lurbinectedin,False,270
IN-202241002229-A,13.325001,Lurbinectedin,False,270
US-20240285627-A1,13.309001,Lurbinectedin,False,270
EP-4595963-A1,13.256553,Lurbinectedin,False,270
AU-2023350411-A1,13.256553,Lurbinectedin,False,270
WO-2024131887-A1,13.228421,Lurbinectedin,False,270
PH-12022551216-A1,13.2086935,Lurbinectedin,False,270
IN-202217035122-A,13.2086935,Lurbinectedin,False,270
JO-P20220118-A1,13.171806,Lurbinectedin,False,270
MX-2022006208-A,13.158453,Lurbinectedin,False,270
HK-40080627-A,13.138483,Lurbinectedin,False,270
US-20230399344-A1,13.132349,Lurbinectedin,False,270
IN-202227056611-A,13.107292,Lurbinectedin,False,270
JO-P20250108-A1,13.082611,Lurbinectedin,False,270
MX-2025005561-A,13.075844,Lurbinectedin,False,270
MX-2023002705-A,13.062149,Lurbinectedin,False,270
US-20230399345-A1,13.014515,Lurbinectedin,False,270
MY-PI2022001181-A0,12.969041,Lurbinectedin,False,270
MX-2022002699-A,12.945805,Lurbinectedin,False,270
HK-40079530-A,12.934774,Lurbinectedin,False,270
SA-522432668-B1,12.856815,Lurbinectedin,False,270
JP-2025532990-A,12.779403,Lurbinectedin,False,270
WO-2024155728-A1,12.715239,Lurbinectedin,False,270
MX-2024005589-A,12.685674,Lurbinectedin,False,270
HK-40115042-A,12.67241,Lurbinectedin,False,270
TW-202415378-A,12.60888,Lurbinectedin,False,270
CN-119947725-A,12.60888,Lurbinectedin,False,270
CR-20230150-A,12.507063,Lurbinectedin,False,270
WO-2024067631-A1,12.474947,Lurbinectedin,False,270
TW-202210078-A,12.458561,Lurbinectedin,False,270
CA-3305278-A1,12.445896,Lurbinectedin,False,270
CA-3281713-A1,12.417257,Lurbinectedin,False,270
TW-202434250-A,12.397917,Lurbinectedin,False,270
CR-20220289-A,12.251683,Lurbinectedin,False,270
TW-202523330-A,12.179751,Lurbinectedin,False,270
WO-2024258238-A1,12.102726,Lurbinectedin,False,270
WO-2025175166-A1,12.02113,Lurbinectedin,False,270
TW-I855149-B,11.956554,Lurbinectedin,False,270
WO-2023088394-A2,11.952471,Lurbinectedin,False,270
IL-320266-A,11.838449,Lurbinectedin,False,270
CA-3270560-A1,11.833116,Lurbinectedin,False,270
WO-2025019334-A2,11.726692,Lurbinectedin,False,270
IL-290656-A,11.701874,Lurbinectedin,False,270
CA-3311865-A1,11.667299,Lurbinectedin,False,270
JP-2024170325-A,11.578491,Lurbinectedin,False,270
IL-312263-A,11.484673,Lurbinectedin,False,270
WO-2025048716-A1,11.3125305,Lurbinectedin,False,270
CA-3174290-A1,11.303151,Lurbinectedin,False,270
WO-2023039208-A1,11.140705,Lurbinectedin,False,270
EP-4398904-A1,11.140705,Lurbinectedin,False,270
TW-202116783-A,11.088388,Lurbinectedin,False,270
MY-PI2022002622-A0,11.06605,Lurbinectedin,False,270
CA-3276392-A1,11.054508,Lurbinectedin,False,270
US-20230159893-A1,10.86735,Lurbinectedin,False,270
CN-117122704-A,10.848383,Lurbinectedin,False,270
ID-P202501810-A,10.836988,Lurbinectedin,False,270
WO-2023193440-A1,10.703714,Lurbinectedin,False,270
WO-2024243545-A1,10.69025,Lurbinectedin,False,270
WO-2023164474-A1,10.64739,Lurbinectedin,False,270
US-20250154247-A1,10.64739,Lurbinectedin,False,270
EP-4482586-A1,10.64739,Lurbinectedin,False,270
CA-3252459-A1,10.64739,Lurbinectedin,False,270
AU-2023224210-A1,10.64739,Lurbinectedin,False,270
US-20240366521-A1,10.604766,Lurbinectedin,False,270
EP-4670728-A1,10.584029,Lurbinectedin,False,270
TW-202132318-A,10.5586605,Lurbinectedin,False,270
KR-102544135-B1,10.494633,Lurbinectedin,False,270
US-20240139241-A1,10.420891,Lurbinectedin,False,270
WO-2015191568-A2,10.339476,Lurbinectedin,False,270
US-20170101464-A1,10.339476,Lurbinectedin,False,270
US-20170112927-A1,10.282259,Lurbinectedin,False,270
CN-116332932-B,10.277309,Lurbinectedin,False,270
CN-116332932-A,10.277309,Lurbinectedin,False,270
KR-20240176948-A,10.24394,Lurbinectedin,False,270
WO-2015191615-A2,10.109585,Lurbinectedin,False,270
IL-323508-A,10.045469,Lurbinectedin,False,270
US-20250084059-A1,10.033931,Lurbinectedin,False,270
WO-2024206740-A1,9.965963,Lurbinectedin,False,270
AU-2024246525-A1,9.965963,Lurbinectedin,False,270
CN-117085048-A,9.933888,Lurbinectedin,False,270
UY-40260-A,9.93183,Lurbinectedin,False,270
US-20250282869-A1,9.93183,Lurbinectedin,False,270
