Family_ID,Publication_Numbers,Compound,Relevance_Class,Therapeutic_Application,Formulation,Drug_Delivery,Combination_Therapy,Diagnostic_Application,Manufacturing,Chemical_Modification,Conjugation,Purification_Isolation,Other_Application,Evidence,Confidence,Human_Review
59067913,ES-2951650-T3,Brentuximab vedotin,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Claim 1 specifically claims a combination therapy of nivolumab + brentuximab vedotin (1.8 mg/kg) for relapsed/refractory Hodgkin lymphoma, with a defined dosing schedule.",High,No
59337521,ES-2724408-T3;ES-2776880-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,Packaging/device,"Brentuximab vedotin appears only in a Markush-style list of ~40 cytotoxic drugs compatible with the claimed flexible multi-chamber lyophilization bag; the invention is a pharmaceutical packaging device, unrelated to the compound itself.",High,No
48948166,US-11366118-B2,Brentuximab_vedotin,Directly Relevant,Yes,No,No,No,Yes,No,No,No,No,,"Claim 1 specifically identifies the CD30-directed antibody-drug conjugate therapy as brentuximab vedotin, administered at a defined dose (1.8 mg/kg every three weeks), for patients selected by CD30 expression detection.",High,No
59631857,ES-2951552-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~20-item antibody list as an alternative targeting moiety option for the claimed immunomodulatory polypeptide platform.,High,No
62196678,ES-2983677-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Brentuximab vedotin appears only in a long list (~30 items) of immunomodulatory drugs usable in a mouse-model cytokine-release-syndrome toxicity assay; the invention is the assay method, not the drug.",High,No
62790985,US-20240109952-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long generic list (~25+ items) of known antibody-drug conjugates/antibodies illustrating a SIRPalpha-41BBL fusion protein's possible combination partners; not the invention's focus.,High,No
57983500,ES-2881771-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~35-item list of antibodies that may be co-administered with the claimed SIRP-alpha polypeptide; the invention is the polypeptide itself.,High,No
58668412,ES-2905556-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a dependent claim's list (~35 drugs) of chemotherapy agents that can cause the mucositis the invention treats; the invention is a fatty-acid-derivative compound for mucositis.,High,No
67874498,US-20240352526-A1,Brentuximab_vedotin,Directly Relevant,No,No,No,No,Yes,No,No,No,No,,"Claim 1 specifically recites a genetic-test method for assessing PML risk 'wherein the immunosuppressive agent comprises brentuximab vedotin' -- the compound is the defined therapy being risk-monitored, not a background example.",High,No
46650947,EP-3321281-B1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a very long (~100+) generic antibody list illustrating candidate cell-binding molecules for P97-fragment conjugates; unrelated core invention.,High,No
pub:HK-40063153-A,HK-40063153-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab named among ~20 example antibody-drug-conjugate antibodies for a saponin-conjugate platform; not singled out.,High,No
52293317,US-20180208577-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~12-item antibody-therapy list as one combinable option with the claimed compound; unrelated core invention.,High,No
72659328,ES-3014597-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~25-item list of therapeutic proteins compatible with the claimed lipolytic-activity detection composition/kit; unrelated invention (assay chemistry).,High,No
56563560,US-20250134837-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an 11-item antibody list as one option for the claimed IRS/STAT3-modulator combination; not singled out.,High,No
45975893,ES-3004351-T3,Brentuximab vedotin,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Dependent claim 17 specifically recites ""the antibody-drug conjugate is brentuximab vedotin"" as an embodiment of the claimed auristatin-ADC + PI3K-AKT-mTOR-inhibitor combination cancer therapy.",High,No
56686842,US-20180305451-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long list of known ADCs/immunoconjugates as background for a HIDE1-composition invention; unrelated core invention.,High,No
52117996,US-12011421-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (~60+) generic antibody list for a curcuphenol-compound MHC-I-expression invention; unrelated core invention.,High,No
54480822,EP-3646862-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~20-item list of drugs that can cause the thrombocytopenia the invention treats; same pattern as the earlier-classified mucositis family (58668412).,High,No
63036509,ES-3002968-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a very long generic list of antibody drugs as one dosing-combination option for the claimed NLRP3-modulator compounds; unrelated core invention.,High,No
59067911,US-20250134996-A1,Brentuximab_vedotin,Directly Relevant,Yes,No,No,No,No,No,No,No,No,,"Claim 1 specifically defines the eligible patient population as those not responsive to prior brentuximab vedotin treatment, for a nivolumab Hodgkin-lymphoma method -- brentuximab vedotin is a defining element of the claimed therapeutic method.",High,No
59900801,EP-3432905-B1,Brentuximab_vedotin,Indirectly Relevant,No,No,No,Yes,No,No,No,No,No,,"Brentuximab vedotin is one of 4 specifically named chemotherapeutic options (MMAE, brentuximab vedotin, glembatumumab, AGS67E) combinable with the claimed HSV-vector gene therapy for chemo-induced peripheral neuropathy -- a real but non-exclusive combination option, short list not a generic background dump.",Medium,Yes
66182633,US-12429405-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (~150+) generic antibody list illustrating sample types for a mass-spectrometry sample-prep method; unrelated core invention.,High,No
53878794,ES-2978993-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Brentuximab vedotin named once in background/description among a ~15-item list of FDA-approved and clinical-stage ADCs, as general context for the ADC field; the invention is a Trop-2/CD3 bispecific antibody.",High,No
47682058,EP-2802871-B1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long list of biologics as example analytes for a subvisible-particle characterization method; unrelated core invention.,High,No
49483867,ES-2861393-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Brentuximab vedotin appears only in a ~10-item list of cancer-targeted antibodies usable as the ""immunotherapy"" combined with the claimed bardoxolone methyl derivative.",High,No
55858921,EP-3738611-B1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a comprehensive background list (~50 items) of known antibody-antigen pairs for a cancer-stem-cell diagnosis/therapy invention; unrelated core invention.,High,No
pub:HK-40120510-A,HK-40120510-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Same charged-depth-filtration purification invention and Markush antibody list already classified Incidental under family 56802689 (ES-2995985-T3/ES-2964640-T3); this is another family member with the same pattern.,High,No
55701917,ES-2898867-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~15-item list of exemplary monoclonal anticancer antibodies usable in the claimed multispecific-antibody bladder-cancer composition; not the invention itself.,High,No
pub:NZ-728265-B2,NZ-728265-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long generic antibody list for an organ-transplant/antibody-therapy method; unrelated core invention.,High,No
63490700,ES-2948287-T3,Brentuximab vedotin,Incidental Mention,No,No,No,Yes(borderline),No,No,No,No,No,,"Brentuximab vedotin is named as an example within the ""ADC"" combination-therapy category (one of 5 therapy classes: chemo/targeted/ADC/immunotherapy/CAR-T) that may be combined with the claimed Bcl-2 inhibitor; more specific than a pure background list but still one example among many, not the focus of the invention.",Medium,Yes
70057223,US-12493019-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (~150+) generic antibody list for a protein-stability-determination method; unrelated core invention.,High,No
50681898,EP-3299019-B1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long list (~30 items) of combinable kinase inhibitors/antibodies for PI3K-modulator compounds; unrelated core invention.,High,No
69165612,AU-2019396614-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long generic antibody list for a protein-concentration-determination method; unrelated core invention.,High,No
46513877,BR-112014002219-A2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a very long generic antibody list of candidate cell-binding molecules for P97-conjugate technology; unrelated core invention.,High,No
54264150,EP-4257186-A2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~15-item list of known therapeutic antibodies as example affinity-medicant-conjugate components; unrelated core invention.,High,No
