Family_ID,Publication_Numbers,Compound,Relevance_Class,Therapeutic_Application,Formulation,Drug_Delivery,Combination_Therapy,Diagnostic_Application,Manufacturing,Chemical_Modification,Conjugation,Purification_Isolation,Other_Application,Evidence,Confidence,Human_Review
47115103,CA-2850245-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a ~40-item list of chemotherapeutic agents combinable with the claimed anti-PD-L1 immunotherapy; not the invention focus.,High,No
34107784,AU-2011201337-B2,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a ~30-item generic anti-cancer agent list combinable with the claimed urea-derivative compound; unrelated core invention.,High,No
37073533,US-20130101680-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a list of ~20 antitumor agents usable with the claimed radiotherapy-enhancer composition; not central to the claims.,High,No
40847365,SG-188146-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a very long (~60+) generic chemotherapeutic list as an example payload for the claimed implantable nanoparticle product; unrelated core invention.,High,No
38287183,US-20130116432-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a ~35-item generic chemotherapeutic list; unrelated core invention.,High,No
38163479,EP-1963372-B1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a very long (~40+) generic cytotoxic-agent list as an optional co-administered drug in an anti-MN-antibody cancer therapy patent; unrelated core invention.,High,No
40129803,AU-2008262837-B2,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine (and its ocfosfate salt) appear only in an extensive categorized anticancer-agent list for a bicycloaniline derivative compound patent; unrelated core invention.,High,No
36636946,US-8497297-B2,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a very long (~40+) generic chemotherapeutic list for dimeric IAP inhibitor compounds; unrelated core invention.,High,No
43223381,US-20130172261-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a long generic chemotherapy list in a patent about anti-SPARC antibodies predicting chemotherapy response; unrelated core invention.,High,No
40291143,EP-2321323-B1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a ~20-item optional-active-ingredient list for an artemisinin-dimer anticancer composition; unrelated core invention.,High,No
38845076,US-20130196929-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a long categorized anticancer-agent list in a SPARC-based chemotherapeutic sensitivity patent; unrelated core invention.,High,No
47595052,US-20130302275-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine (and liposomal form) appear only in an extremely long generic chemotherapy-drug list in a PH20 polypeptide variant/formulation patent; unrelated core invention.,High,No
39638671,IL-203091-A,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a long generic chemotherapy list for pyridazinone derivative compounds; unrelated core invention.,High,No
34468632,US-8524651-B2,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only as one of several listed anti-metabolite options in a combination cancer-therapy method claim; not the invention focus.,High,No
40262072,EP-2205244-B1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a generic anticancer-agent list as an optional second therapeutic agent; unrelated core invention (a compound/FLT3-inhibitor patent).,High,No
44514663,US-20130310451-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine (and liposomal form) appear only in a huge (~100+) generic oncology-drug list in a tricyclic-lactone anticancer compound patent; unrelated core invention.,High,No
46045121,AU-2012250050-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in an extremely long (~300+) generic pharmaceutical-agent list for parenteral lipophilic-drug formulations; unrelated core invention.,High,No
43736585,EP-2665489-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only as one of several pyrimidine-analogue options in a generic combination cancer-therapy claim listing many drug classes; not the invention focus.,High,No
41255419,US-8613930-B2,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a long generic pyrimidine-analogue list for a cross-linker chemistry patent; unrelated core invention.,High,No
42236293,EP-2676953-A1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a generic chemotherapy-agent list as an optional combination partner for a hemifumarate salt compound; unrelated core invention.,High,No
42112300,US-8673919-B2,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine appears only in a long generic oncology-drug combination list for MEK-inhibitor dihydropyridine sulfonamide/sulfamide compounds; unrelated core invention.,High,No
26010364,US-8679520-B2,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Cytarabine appears only within a very long (~80+) generic active-agent list for a restenosis-preventing stent coating patent; not singled out as a specific embodiment, unrelated core invention.",High,No
36579187,CA-2624372-C,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Cytarabine appears only in a huge generic active-principle list for modified-release microparticle formulations; not singled out, unrelated core invention.",High,No
27671080,EP-1478648-B1,Cytarabine,Incidental Mention,No,No,No,No,No,No,No,No,No,,Cytarabine liposomal appears only in an extremely long generic anticancer-agent list for phosphorus-containing compounds; unrelated core invention.,High,No
