Family_ID,Publication_Numbers,Compound,Relevance_Class,Therapeutic_Application,Formulation,Drug_Delivery,Combination_Therapy,Diagnostic_Application,Manufacturing,Chemical_Modification,Conjugation,Purification_Isolation,Other_Application,Evidence,Confidence,Human_Review
pub:HK-40006091-A,HK-40006091-A,Omega3_carboxylic_acid,Incidental Mention,No,No,No,No,No,No,No,No,No,,Omega-3 carboxylic acid appears only in a long generic list of liver-fibrosis drug candidates/comparators; not the invention's subject.,High,No
50685178,US-12350261-B2,Plitidepsin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Plitidepsin appears only in a ~20-item list of anti-VEGF-related compounds usable in the claimed ocular-disease treatment device; not the invention's focus.,High,No
50239666,EP-2992953-B1,Plitidepsin,Indirectly Relevant,No,No,Yes,No,No,No,No,No,No,,"Claim 11 names plitidepsin as one of only two preferred antitumoral active ingredients (""preferably paclitaxel or plitidepsin"") for the claimed microencapsulation drug-delivery invention.",Medium,Yes
78083570,US-20230218596-A1,Plitidepsin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Plitidepsin appears only in a ~25-item list of drugs investigated/mentioned for COVID-19 treatment; the invention is about a neutrophil elastase inhibitor (alvelestat).,High,No
64477081,ES-2711669-A1,Plitidepsin,Indirectly Relevant,No,No,Yes,No,No,No,No,No,No,,Named within a ~60-item list of candidate hydrophobic payloads for a polysialic-acid nanocapsule drug-delivery system; delivery technology explicitly includes it as a named application but does not single it out. (Consistent with the earlier cc=ES screening's classification of this same family.),Medium,Yes
37246305,EP-2074992-A1,Omega3_acid_ethyl_esters,Incidental Mention,No,No,No,No,No,No,No,No,No,,Appears only in a ~15-item list of lipid-lowering agents as one dependent-claim option for a pharmaceutical formulation platform unrelated to it specifically.,High,No
40226045,EP-2172225-B1,Omega3_acid_ethyl_esters,Directly Relevant,No,Yes,Yes,No,No,No,No,No,No,,Omega-3-acid ethyl esters (European Pharmacopoeia formulation) is the specific active-ingredient composition example built into the claimed seamless-capsule drug-delivery invention (claim 5 and throughout description).,High,No
50513493,US-10639308-B2,Omega3_acid_ethyl_esters,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Appears only among several ""other lipid lowering agents"" in a long combination-therapy background list for an sGC-stimulator invention unrelated to it.",High,No
48699862,WO-2013150386-A2,Omega3_acid_ethyl_esters,Directly Relevant,Yes,Yes,No,No,No,No,No,No,No,,"Claim 66 specifically claims the fatty-acid oil mixture as chosen between only two pharmacopeia-defined forms, one being ""European Pharmacopoeia Omega-3 acid Ethyl Esters 60"", for the claimed acne/eczema treatment composition.",Medium,No
45871300,NO-2022039-I1,Enfortumab_vedotin,Directly Relevant,Yes,No,No,No,No,No,No,No,No,,"Norwegian SPC (supplementary protection certificate) filing whose title is exactly ""Enfortumab vedotin"" -- an SPC extends patent term specifically for one marketed drug, so this filing is definitionally about the compound itself despite minimal claim text.",High,No
74494891,AU-2021213421-B2,Enfortumab_vedotin,Directly Relevant,Yes,No,No,No,No,No,No,No,No,,"Claim 2 explicitly recites ""the Nectin-4-binding protein conjugated to an auristatin is enfortumab vedotin"" as the specific claimed therapeutic agent for treating relapsed/progressed urothelial cancer.",High,No
pub:NZ-743923-B2,NZ-743923-B2,Enfortumab_vedotin + Polatuzumab_vedotin (MULTIPLE),Incidental Mention,No,No,No,No,No,No,No,No,No,,Appears only in an extremely long alphabetical list of antibody-class drug names as an example of a chimeric-protein immunotherapy target; unrelated core invention.,High,No
85173151,TW-I834442-B,Enfortumab_vedotin,Indirectly Relevant,No,No,No,Yes,No,No,No,No,No,,Claim 45 names enfortumab vedotin as one of 4 specifically-listed ADC combination-partner options (not a long generic list) for the claimed IKAROS zinc-finger degrader invention.,Medium,Yes
77520789,IL-298855-A,Enfortumab_vedotin + Polatuzumab_vedotin (MULTIPLE),Incidental Mention,No,No,No,No,No,No,No,No,No,,"Appears among ~10 named FDA-approved ADCs in a generic ""select any approved ADC"" dependent claim for a deoxyuridine-triphosphatase-inhibitor combination-therapy invention; not singled out or preferred.",Medium,Yes
