Family_ID,Publication_Numbers,Compound,Relevance_Class,Therapeutic_Application,Formulation,Drug_Delivery,Combination_Therapy,Diagnostic_Application,Manufacturing,Chemical_Modification,Conjugation,Purification_Isolation,Other_Application,Evidence,Confidence,Human_Review
59337521,ES-2724408-T3;ES-2776880-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,Packaging/device,"Brentuximab vedotin appears only in a Markush-style list of ~40 cytotoxic drugs compatible with the claimed flexible multi-chamber lyophilization bag; the invention is a pharmaceutical packaging device, unrelated to the compound itself.",High,No
59067913,ES-2951650-T3,Brentuximab vedotin,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Claim 1 specifically claims a combination therapy of nivolumab + brentuximab vedotin (1.8 mg/kg) for relapsed/refractory Hodgkin lymphoma, with a defined dosing schedule.",High,No
62196678,ES-2983677-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Brentuximab vedotin appears only in a long list (~30 items) of immunomodulatory drugs usable in a mouse-model cytokine-release-syndrome toxicity assay; the invention is the assay method, not the drug.",High,No
57983500,ES-2881771-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~35-item list of antibodies that may be co-administered with the claimed SIRP-alpha polypeptide; the invention is the polypeptide itself.,High,No
53878794,ES-2978993-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Brentuximab vedotin named once in background/description among a ~15-item list of FDA-approved and clinical-stage ADCs, as general context for the ADC field; the invention is a Trop-2/CD3 bispecific antibody.",High,No
58668412,ES-2905556-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a dependent claim's list (~35 drugs) of chemotherapy agents that can cause the mucositis the invention treats; the invention is a fatty-acid-derivative compound for mucositis.,High,No
72659328,ES-3014597-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~25-item list of therapeutic proteins compatible with the claimed lipolytic-activity detection composition/kit; unrelated invention (assay chemistry).,High,No
56802689,ES-2995985-T3;ES-2964640-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~40-item antibody list illustrating which antigen-binding proteins the claimed charged-depth-filtration purification method could apply to.,High,No
45975893,ES-3004351-T3,Brentuximab vedotin,Directly Relevant,Yes,No,No,Yes,No,No,No,No,No,,"Dependent claim 17 specifically recites ""the antibody-drug conjugate is brentuximab vedotin"" as an embodiment of the claimed auristatin-ADC + PI3K-AKT-mTOR-inhibitor combination cancer therapy.",High,No
55701917,ES-2898867-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~15-item list of exemplary monoclonal anticancer antibodies usable in the claimed multispecific-antibody bladder-cancer composition; not the invention itself.,High,No
