Institution,Year,Simplefamily_count
Universidad de Cadiz,1997,5
Universidad de Cadiz,1998,5
Universidad de Cadiz,1999,7
Universidad de Cadiz,2000,2
Universidad de Cadiz,2001,6
Universidad de Cadiz,2002,4
Universidad de Cadiz,2003,4
Universidad de Cadiz,2004,10
Universidad de Cadiz,2005,13
Universidad de Cadiz,2006,16
Universidad de Cadiz,2007,20
Universidad de Cadiz,2008,19
Universidad de Cadiz,2009,23
Universidad de Cadiz,2010,26
Universidad de Cadiz,2011,25
Universidad de Cadiz,2012,25
Universidad de Cadiz,2013,32
Universidad de Cadiz,2014,31
Universidad de Cadiz,2015,32
Universidad de Cadiz,2016,30
Universidad de Cadiz,2017,27
Universidad de Cadiz,2018,30
Universidad de Cadiz,2019,22
Universidad de Cadiz,2020,14
Universidad de Cadiz,2021,14
Universidad de Cadiz,2022,17
Universidad de Cadiz,2023,27
Universidad de Cadiz,2024,23
Universidad de Cadiz,2025,23
Universidad de Cadiz,2026,20
Universidad de Sevilla,1997,5
Universidad de Sevilla,1998,8
Universidad de Sevilla,1999,22
Universidad de Sevilla,2000,20
Universidad de Sevilla,2001,18
Universidad de Sevilla,2002,21
Universidad de Sevilla,2003,28
Universidad de Sevilla,2004,31
Universidad de Sevilla,2005,43
Universidad de Sevilla,2006,60
Universidad de Sevilla,2007,64
Universidad de Sevilla,2008,58
Universidad de Sevilla,2009,54
Universidad de Sevilla,2010,66
Universidad de Sevilla,2011,68
Universidad de Sevilla,2012,96
Universidad de Sevilla,2013,102
Universidad de Sevilla,2014,95
Universidad de Sevilla,2015,97
Universidad de Sevilla,2016,78
Universidad de Sevilla,2017,57
Universidad de Sevilla,2018,63
Universidad de Sevilla,2019,53
Universidad de Sevilla,2020,48
Universidad de Sevilla,2021,43
Universidad de Sevilla,2022,42
Universidad de Sevilla,2023,51
Universidad de Sevilla,2024,41
Universidad de Sevilla,2025,48
Universidad de Sevilla,2026,35
Universidad de Granada,1997,4
Universidad de Granada,1998,10
Universidad de Granada,1999,8
Universidad de Granada,2000,10
Universidad de Granada,2001,12
Universidad de Granada,2002,13
Universidad de Granada,2003,16
Universidad de Granada,2004,17
Universidad de Granada,2005,19
Universidad de Granada,2006,19
Universidad de Granada,2007,32
Universidad de Granada,2008,37
Universidad de Granada,2009,44
Universidad de Granada,2010,48
Universidad de Granada,2011,53
Universidad de Granada,2012,57
Universidad de Granada,2013,57
Universidad de Granada,2014,62
Universidad de Granada,2015,53
Universidad de Granada,2016,47
Universidad de Granada,2017,39
Universidad de Granada,2018,30
Universidad de Granada,2019,28
Universidad de Granada,2020,41
Universidad de Granada,2021,33
Universidad de Granada,2022,37
Universidad de Granada,2023,46
Universidad de Granada,2024,48
Universidad de Granada,2025,50
Universidad de Granada,2026,34
Universidad de Malaga,1996,1
Universidad de Malaga,1998,6
Universidad de Malaga,1999,10
Universidad de Malaga,2000,9
Universidad de Malaga,2001,5
Universidad de Malaga,2002,5
Universidad de Malaga,2003,13
Universidad de Malaga,2004,20
Universidad de Malaga,2005,23
Universidad de Malaga,2006,18
Universidad de Malaga,2007,15
Universidad de Malaga,2008,25
Universidad de Malaga,2009,33
Universidad de Malaga,2010,42
Universidad de Malaga,2011,44
Universidad de Malaga,2012,42
Universidad de Malaga,2013,42
Universidad de Malaga,2014,27
Universidad de Malaga,2015,33
Universidad de Malaga,2016,38
Universidad de Malaga,2017,28
Universidad de Malaga,2018,17
